id,priority,document,action,owner,status,target_date,evidence_or_resolution
LEG-001,P0,scope/governance,Appoint accountable technical and compliance decision owner,"Professor Peter Schneider-Kamp, University of Southern Denmark",resolved_human,2026-08-15,Owner identified by Professor Peter Schneider-Kamp on 2026-08-15
LEG-002,P0,scope,Obtain qualified internal SDU legal review or external EU AI Act counsel review of GPAI and Article 2(6) analysis,,human_required,,No external-counsel mandate was identified; draft scope analysis and engineering FLOP evidence are complete and require qualified legal review
LEG-003,P0,scope/public-summary,Identify and approve legal provider entity or joint providers and public contact details,,human_required,,Requires institutional authority
LEG-004,P0,public-summary,Record public release date and distribution method while reserving legal Union-market characterization,"Professor Peter Schneider-Kamp, University of Southern Denmark",resolved_human,2026-08-15,"Project declaration: released as open weights through Hugging Face Hub on 2026-08-15; legal placement and provider characterization remain LEG-002 and LEG-003"
LEG-005,P0,all-data-docs,Reconstruct exact DFM6 to DFM7 to DFM8 phase source union and token exposure,,resolved_engineering,2026-08-15,"1,350,991,478 sampled rows and 431,832,565,530 source tokens mapped in phase-task/source-exposure registers"
LEG-006,P1,public-summary,Attest whether any source was acquired after the latest repository-evidenced date,"Professor Peter Schneider-Kamp, University of Southern Denmark",resolved_human,2026-08-15,"Attested no source was acquired after the repository-evidenced 2026-07-14 date"
LEG-007,P1,public-summary,Review upstream cards and suppliers for missing collection periods content descriptions and acquisition-time terms,,human_required,,Current metadata captured for all 159 public sources; 104 pretty names 129 language declarations 42 task-category declarations; upstream omissions require human source review
LEG-008,P0,copyright/public-summary,Classify DBC agreement for Commission-template category and review remaining contract terms,"Professor Peter Schneider-Kamp, University of Southern Denmark",human_required,,"Project-owner confirmation on 2026-08-17: agreement permits model training and model release; confidential contract remains needed to classify section 2.2.1 vs 2.2.2 and assess any unconfirmed retention, redistribution, attribution, duration, security and downstream-use terms"
LEG-009,P0,copyright/public-summary,Classify Lex.dk agreement for Commission-template category and review remaining contract terms,"Professor Peter Schneider-Kamp, University of Southern Denmark",human_required,,"Project-owner confirmation on 2026-08-17: agreement permits model training and model release; confidential contract remains needed to classify section 2.2.1 vs 2.2.2 and assess any unconfirmed retention, redistribution, attribution, duration, security and downstream-use terms"
LEG-010,P0,copyright/public-summary,Obtain partner and contractor attestation that no direct crawling occurred,,human_required,,Repository audit found only HF snapshot acquisition and no provider crawler
LEG-011,P1,public-summary/privacy,Obtain partner attestation that no provider-service user interaction data was used,,human_required,,Repository audit found no provider-service collection path; third-party public conversations are separately disclosed
LEG-012,P1,public-summary,Consolidate synthetic generator versions prompts audits counts and links,,resolved_engineering,2026-08-15,91 final-recipe derivatives inventoried and 17 exact major-pipeline evidence rows consolidated
LEG-013,P1,public-summary,Attest that no other offline commissioned or human-generated source categories were used,,human_required,,Requires cross-partner contract and project-record confirmation
LEG-014,P0,copyright,Approve actual Article 4 rights-reservation protocol and Code-signatory decision,,human_required,,Engineering source controls documented; legal protocol and signatory decision require provider approval
LEG-015,P1,public-summary,Document measured illegal-content and source-removal controls and limitations,,resolved_engineering,2026-08-15,legal/controls/07-data-content-controls-assessment.md
LEG-016,P0,copyright,Appoint copyright policy owner,,human_required,,Governance appointment
LEG-017,P0,copyright,Obtain copyright counsel approval,,human_required,,Draft operational policy and source registers are ready for review
