phase_id,dataset_recipe,source_prefix,sampled_rows_consumed,instruction_tokens_consumed,response_tokens_consumed,source_tokens_consumed,task_count,tokenized_roots
PHASE-001,dfm6,Platypus,832410,170467260,22849140,193316400,8,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,SYNTH,30000000,2505966258,7855804199,10361770457,500,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,acereason,8006223,731376675,5103758004,5835134679,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_big_reasoning_traces,2030841,195509019,4775187828,4970696847,44,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_if_sft_verified,95241,19935117,39885681,59820798,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_open_math_2_50k_r1,149487,10089261,205360821,215450082,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_sciriff_train_mix,355551,324726207,72159237,396885444,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_3_personas_algebra,60000,12498756,50560872,63059628,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_3_personas_code,104997,27443610,16472727,43916337,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_3_personas_if,89940,6105855,28451373,34557228,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_3_personas_math,449880,134545350,476969889,611515239,2,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_3_sft_mixture,6305964,2091368850,2620317666,4711686516,6,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_v2_sft_long_mixture,1682538,1450614624,365687166,1816301790,1,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_tulu_v2_sft_mixture,2258604,1977019401,541793211,2518812612,3,data/tokenized_dfm6_direct_jinja
PHASE-001,dfm6,allenai_verifiable_reasoning_gpt41,854433,204380937,1609721649,1814102586,6,data/tokenized_dfm6_direct_jinja
