source_id,average_tokens_per_epoch,dominant_basis_current_research_use,article3_reliance,article4_status,agreement_present,open_or_public_basis_present,declared_cc0,noncommercial_restriction,express_publisher_permission,participant_publication_permission,generator_terms_review,dependency_scope
allenai/big-reasoning-traces,1656898949.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
allenai/Dolci-Instruct-SFT,2236249049.0,article4_backed_mixed,no,conditional_not_cleared,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/Dolci-Instruct-SFT-No-Tools,3486502506.0,article4_backed_mixed,no,conditional_not_cleared,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/Dolci-Instruct-SFT-Tool-Use,1614812888.0,manual_low_risk_acceptance,no,conditional_not_cleared,no,no,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/Dolci-Instruct-SFT-Tool-Use-SA,5814828.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/IF_sft_data_verified,19940266.0,article4_backed_mixed,no,conditional_not_cleared,no,yes,no,no,no,no,no,Constraint-augmented and response-regenerated derivative of the fully audited Tulu 3 mixture.
allenai/open_math_2_50k_r1-original,71816694.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Subset of NVIDIA OpenMathInstruct-2 problems/solutions with DeepSeek-R1-family regenerated responses.
allenai/RLVR-GSM,6824850.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Top-level dataset repository or agreement source.
allenai/RLVR-MATH,8067070.0,direct_open_or_public,no,not_needed_within_direct_scope,no,yes,no,no,no,no,no,Aggregate selected from multiple licensed/public-domain source corpora.
allenai/SciRIFF-train-mix,132295148.0,participant_publication_permission,no,not_needed_within_direct_scope,no,no,no,no,no,yes,no,"Component-audited mixture; ShareGPT expression is covered for current research by MAN-022 deliberate-publication permission acceptance, with privacy safeguards independent."
