domain,source_component,rows_in_mot,expression_role,package_terms,potential_infringement_risk,current_research_basis,reason
math,NuminaMath olympiads,68089,verbatim problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,medium-high,direct_terms_plus_manual_acceptance,Competition problem statements can contain protectable wording even where the package declares Apache-2.0; residual risk accepted 2026-08-17 without Article 3 reliance.
math,NuminaMath cn_contest,12046,verbatim problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,medium-high,direct_terms_plus_manual_acceptance,Chinese contest questions can retain substantial authored expression; residual risk accepted 2026-08-17 without Article 3 reliance.
math,NuminaMath aops_forum,8345,verbatim forum problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,high,direct_terms_plus_manual_acceptance,Forum posts have identifiable third-party authors and distinctive wording; residual risk accepted 2026-08-17 without Article 3 reliance.
math,NuminaMath amc_aime,3403,verbatim contest problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,medium-high,direct_terms_plus_manual_acceptance,Official contest wording is retained; residual risk accepted 2026-08-17 without Article 3 reliance.
math,NuminaMath inequalities,806,verbatim problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,medium,direct_terms_plus_manual_acceptance,Short functional statements lower but do not eliminate risk; residual risk accepted 2026-08-17 without Article 3 reliance.
math,NuminaMath olympiads_ref,664,verbatim reference problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,medium-high,direct_terms_plus_manual_acceptance,Reference problem wording is retained; residual risk accepted 2026-08-17 without Article 3 reliance.
math,NuminaMath number_theory,380,verbatim problem plus generated reasoning,Apache-2.0 via OpenR1-Math-220k,medium,direct_terms_plus_manual_acceptance,Short functional statements lower but do not eliminate risk; residual risk accepted 2026-08-17 without Article 3 reliance.
code,Codeforces/ICPC/IOI problem statements,about 83100,verbatim statement examples and notes plus generated code,CC-BY-4.0 metadata but ODC-By stated in README,medium-high,direct_terms_plus_manual_acceptance,Mixture-of-Thoughts includes the upstream prompt exactly; residual risk accepted 2026-08-17 without Article 3 reliance.
code,human-written competition editorials,subset of about 83100,editorial embedded verbatim in editorial-conditioned prompts,CC-BY-4.0 metadata but ODC-By stated in README,high,direct_terms_plus_manual_acceptance,Editorials are embedded in prompts; residual risk accepted 2026-08-17 without Article 3 reliance and overlap testing remains required.
code,DeepSeek-R1 generated reasoning and code,about 83100,generated response,DeepSeek model terms plus source package terms,low-medium,direct_terms,Outputs are newly generated but should be overlap-tested against editorials and official solutions.
science,NVIDIA Llama-Nemotron science prompts,172514,verbatim or source-derived scientific question plus generated reasoning,CC-BY-4.0 predominantly with per-sample exceptions,medium-high,per_sample_terms_plus_manual_acceptance,The NVIDIA card says prompts are public/open or synthetic and carries per-sample licences; residual risk accepted 2026-08-17 without Article 3 reliance.
all,DeepSeek-R1 reasoning traces,349000,generated response,source-specific terms and DeepSeek model terms,low-medium,direct_terms,Reasoning is generally new expression but can restate the prompt or reproduce an editorial-derived solution.
