source_id,source_url,dfm9_prefix_or_category,sampled_tokens_five_epochs,average_sampled_tokens_per_epoch,dfm9_share,captured_declared_licence,copyright_class,current_scientific_research_basis,nonresearch_or_commercial_basis,article3_required,article4_status,lineage_scope,confidence,rationale,acquisition_evidence,current_metadata_evidence,human_review_required
allenai/big-reasoning-traces,https://huggingface.co/datasets/allenai/big-reasoning-traces,allenai_big_reasoning_traces,8284494745,1656898949.0,2.07271182%,,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,Card identifies a compilation of permissively licensed component datasets; preserve component provenance.,data/downloads/datasets/allenai_big_reasoning_traces/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/big-reasoning-traces,yes
allenai/Dolci-Instruct-SFT,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT,dolci_instruct_sft,11181245245,2236249049.0,2.79745475%,odc-by,mixed_licences_and_article4,"ODC-By mixture layer plus direct component terms, MAN-001 through MAN-004 for Tool Use residuals, and Article 4 for uncovered FLAN v2 and SciRIFF expression",same component-specific basis only while Article 4 conditions and direct-term obligations remain satisfied,no,conditional_not_cleared,Top-level dataset repository or agreement source.,high,"The 22 source labels mix directly licensed/generated material with ODC-By, FLAN, WildChat, SciRIFF and other source-dependent prompts. The complete DOLCI DAG has no remaining Article 3-dependent required child; see legal/reports/dfm9-dolci-toolu-component-audit.md and the source-rights DAG.",data/downloads/datasets/dolci_instruct_sft/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/Dolci-Instruct-SFT,yes
allenai/Dolci-Instruct-SFT-No-Tools,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-No-Tools,dolci_instruct_sft_no_tools,17432512530,3486502506.0,4.36146994%,odc-by,mixed_licences_and_article4,"ODC-By mixture layer plus direct component terms, MAN-001 through MAN-004 for Tool Use residuals, and Article 4 for uncovered FLAN v2 and SciRIFF expression",same component-specific basis only while Article 4 conditions and direct-term obligations remain satisfied,no,conditional_not_cleared,Top-level dataset repository or agreement source.,high,"The no-tools corpus contains the same 21 non-tool source families as the full DOLCI mixture. Ai2-authored sources are directly covered, while FLAN, CoCoNot, SciRIFF, Tulu persona and WildJailbreak dependencies remain source-specific. The complete DOLCI DAG has no remaining Article 3-dependent required child; see legal/reports/dfm9-dolci-toolu-component-audit.md and the source-rights DAG.",data/downloads/datasets/dolci_instruct_sft_no_tools/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/Dolci-Instruct-SFT-No-Tools,yes
allenai/Dolci-Instruct-SFT-Tool-Use,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-Tool-Use,dolci_native_tool_use/dolci_instruct_sft_tool_use,8074064440,1614812888.0,2.02006391%,,mixed_direct_and_manual_low_risk_acceptance,direct licensed/generated layers plus project-owner low-risk acceptance; no Article 3 reliance identified for residual layers,Article 4 is a conditional alternative only where lawful access and absence of an effective rights reservation are evidenced,no,conditional_not_cleared,Top-level dataset repository or agreement source.,medium,"The five ToolU labels are decomposed into direct Ai2-generated trajectory layers and named licensed sources. On 2026-08-17 the project owner accepted the remaining unassigned/adapted SimFC schemas, third-party scholarly content, five residual DRv4 prompts, and retained web-search snippets as low risk for current academic/non-commercial scientific-research training, with no identified material reason to invoke Article 3. The detailed findings and provenance gaps remain recorded; this is not an open-licence classification.",data/downloads/datasets/dolci_instruct_sft_tool_use/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/Dolci-Instruct-SFT-Tool-Use,scope_check
allenai/Dolci-Instruct-SFT-Tool-Use-SA,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-Tool-Use-SA,dolci_native_tool_use/dolci_instruct_sft_tool_use_sa,29074140,5814828.0,0.00727411%,cc-by-sa-4.0,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/dolci_instruct_sft_tool_use_sa/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/Dolci-Instruct-SFT-Tool-Use-SA,scope_check
allenai/IF_sft_data_verified,https://huggingface.co/datasets/allenai/IF_sft_data_verified,allenai_if_sft_verified,99701330,19940266.0,0.02494445%,,mixed_licences_and_article4,Ai2 constraint/regenerated-response layer plus the fully audited Tulu 3 component bases,"same Tulu 3 component bases, including Article 4 conditions for uncovered FLAN v2 and SciRIFF expression",no,conditional_not_cleared,Constraint-augmented and response-regenerated derivative of the fully audited Tulu 3 mixture.,high,Every local ID exactly matches an audited Tulu 3 row. Ai2 adds the constraint and regenerates the response; the retained prompt inherits the completed Tulu 3 component basis. Every local ID exactly matches a row in the audited Tulu 3 mixture; see legal/reports/dfm9-tulu-v2-sciriff-if-sft-audit.md.,data/downloads/datasets/allenai_if_sft_verified/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/IF_sft_data_verified,yes
allenai/open_math_2_50k_r1-original,https://huggingface.co/datasets/allenai/open_math_2_50k_r1-original,allenai_open_math_2_50k_r1,359083470,71816694.0,0.08983970%,,direct_open_licence_or_public_terms,"NVIDIA OpenMathInstruct-2 CC-BY-4.0 lineage, GSM8K MIT seed, and DeepSeek-R1 MIT distillation permission","same direct basis subject to attribution, notices, and preservation of source lineage",no,not_needed_within_direct_scope,Subset of NVIDIA OpenMathInstruct-2 problems/solutions with DeepSeek-R1-family regenerated responses.,high,"Rows trace to NVIDIA OpenMathInstruct-2 (CC-BY-4.0): 8,988 GSM8K and 40,841 augmented-GSM8K problems, with regenerated DeepSeek-R1-family answers. GSM8K is MIT and DeepSeek's MIT model terms expressly permit distillation and training other models; preserve attribution and notices.",data/downloads/datasets/allenai_open_math_2_50k_r1/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/open_math_2_50k_r1-original,scope_check
allenai/RLVR-GSM,https://huggingface.co/datasets/allenai/RLVR-GSM,allenai_rlvr_gsm,34124250,6824850.0,0.00853760%,mit,direct_open_licence_or_public_terms,"direct licence, subject to attribution/share-alike/notice and source-scope verification",same direct basis within licence scope,no,not_needed_within_direct_scope,Top-level dataset repository or agreement source.,medium,Repository declares an open/public licence; embedded third-party content still needs scope verification.,data/downloads/datasets/allenai_rlvr_gsm/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/RLVR-GSM,scope_check
allenai/RLVR-MATH,https://huggingface.co/datasets/allenai/RLVR-MATH,allenai_rlvr_math,40335350,8067070.0,0.01009157%,,mixed_open_or_public_domain_licences,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance",same direct basis if obligations and provenance are retained,no,not_needed_within_direct_scope,Aggregate selected from multiple licensed/public-domain source corpora.,medium,"All 7,500 rows identify MATH as their dataset; the official Hendrycks MATH repository is MIT licensed. Preserve the source notice and citation.",data/downloads/datasets/allenai_rlvr_math/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/RLVR-MATH,yes
allenai/SciRIFF-train-mix,https://huggingface.co/datasets/allenai/SciRIFF-train-mix,allenai_sciriff_train_mix,661475740,132295148.0,0.16549574%,odc-by,mixed_direct_and_participant_publication_permission,direct component terms plus MAN-022 acceptance of deliberate ShareGPT public sharing and public-API access as participant permission for current academic/non-commercial research training,nonresearch use remains source- and scope-specific; MAN-022 is not a blanket Apache licence or raw-redistribution permission,no,not_needed_within_direct_scope,"Component-audited mixture; ShareGPT expression is covered for current research by MAN-022 deliberate-publication permission acceptance, with privacy safeguards independent.",high,"The exact local split is 35,000 SciRIFF rows and 35,714 sampled Tulu v2 rows. SciRIFF uses MAN-014 Article 4; the Tulu half is resolved including MAN-022 for ShareGPT participant expression. On 2026-08-18 the project owner accepted the deliberate publication flow as permission for the current research use; unlike WildChat, no explicit research/product-development consent wording was found.",data/downloads/datasets/allenai_sciriff_train_mix/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/SciRIFF-train-mix,scope_check
allenai/tulu-3-sft-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-mixture,allenai_tulu_3_sft_mixture,7852810860,1570562172.0,1.96470810%,odc-by,mixed_licences_and_article4,ODC-By container and direct component terms; Article 4 / Danish section 11 b for uncovered FLAN v2 and SciRIFF source expression,same basis only while Article 4 lawful-access and no-effective-reservation conditions remain satisfied; otherwise component-specific permission is required,no,conditional_not_cleared,Top-level dataset repository or agreement source.,high,"The 939,343 local rows resolve to 19 source labels. Fifteen component families have direct/open or previously accepted bases; CoCoNot and WildJailbreak are synthetic Ai2 releases under stated terms. FLAN v2 and SciRIFF use Article 4 / Danish section 11 b for uncovered source expression by project-owner determination. See legal/reports/dfm9-tulu3-mixture-audit.md.",data/downloads/datasets/allenai_tulu_3_sft_mixture/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-3-sft-mixture,yes
allenai/tulu-3-sft-personas-algebra,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-algebra,allenai_tulu_3_personas_algebra,105099380,21019876.0,0.02629499%,odc-by (local card text),mixed_open_and_noncommercial_licences,ODC-By Ai2 release plus PersonaHub CC-BY-NC-SA and assigned generator-output rights; no Article 3 reliance,commercial use is not cleared because the PersonaHub conditioning layer is NonCommercial; preserve attribution and ShareAlike scope,no,not_needed_within_direct_scope,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following.",high,"The Tulu 3 report identifies PersonaHub conditioning, Ai2-authored seeds, GPT-4o generation, and Claude 3.5 Sonnet Python solutions. Provider terms assign outputs to the customer; Ai2 released the subsets under ODC-By. Account-specific generation compliance is not independently archived.",data/downloads/datasets/allenai_tulu_3_personas_algebra/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-3-sft-personas-algebra,scope_check
allenai/tulu-3-sft-personas-code,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-code,allenai_tulu_3_personas_code,73193895,14638779.0,0.01831251%,odc-by (local card text),mixed_open_and_noncommercial_licences,ODC-By Ai2 release plus PersonaHub CC-BY-NC-SA and assigned generator-output rights; no Article 3 reliance,commercial use is not cleared because the PersonaHub conditioning layer is NonCommercial; preserve attribution and ShareAlike scope,no,not_needed_within_direct_scope,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following.",high,"The Tulu 3 report identifies PersonaHub conditioning, Ai2-authored seeds, GPT-4o generation, and Claude 3.5 Sonnet Python solutions. Provider terms assign outputs to the customer; Ai2 released the subsets under ODC-By. Account-specific generation compliance is not independently archived.",data/downloads/datasets/allenai_tulu_3_personas_code/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-3-sft-personas-code,scope_check
allenai/tulu-3-sft-personas-instruction-following,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-instruction-following,allenai_tulu_3_personas_if,57595380,11519076.0,0.01440989%,odc-by,mixed_open_and_noncommercial_licences,ODC-By Ai2 release plus PersonaHub CC-BY-NC-SA and assigned generator-output rights; no Article 3 reliance,commercial use is not cleared because the PersonaHub conditioning layer is NonCommercial; preserve attribution and ShareAlike scope,no,not_needed_within_direct_scope,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following.",high,"The Tulu 3 report identifies PersonaHub conditioning, Ai2-authored seeds, GPT-4o generation, and Claude 3.5 Sonnet Python solutions. Provider terms assign outputs to the customer; Ai2 released the subsets under ODC-By. Account-specific generation compliance is not independently archived.",data/downloads/datasets/allenai_tulu_3_personas_if/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-3-sft-personas-instruction-following,scope_check
allenai/tulu-3-sft-personas-math,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-math,allenai_tulu_3_personas_math,1019192065,203838413.0,0.25499340%,odc-by (local card text),mixed_open_and_noncommercial_licences,ODC-By Ai2 release plus PersonaHub CC-BY-NC-SA and assigned generator-output rights; no Article 3 reliance,commercial use is not cleared because the PersonaHub conditioning layer is NonCommercial; preserve attribution and ShareAlike scope,no,not_needed_within_direct_scope,"Synthetic PersonaHub-conditioned prompts/responses generated by GPT-4o and, for Python solutions, Claude 3.5 Sonnet; Ai2 seeds and IFEval taxonomy also apply to instruction following.",high,"The Tulu 3 report identifies PersonaHub conditioning, Ai2-authored seeds, GPT-4o generation, and Claude 3.5 Sonnet Python solutions. Provider terms assign outputs to the customer; Ai2 released the subsets under ODC-By. Account-specific generation compliance is not independently archived.",data/downloads/datasets/allenai_tulu_3_personas_math/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-3-sft-personas-math,scope_check
allenai/tulu-v2-sft-long-mixture,https://huggingface.co/datasets/allenai/tulu-v2-sft-long-mixture,allenai_tulu_v2_sft_long_mixture,3027169650,605433930.0,0.75737272%,odc-by,mixed_direct_and_participant_publication_permission,direct component terms plus MAN-022 acceptance of deliberate ShareGPT public sharing and public-API access as participant permission for current academic/non-commercial research training,nonresearch use remains source- and scope-specific; MAN-022 is not a blanket Apache licence or raw-redistribution permission,no,not_needed_within_direct_scope,"Component-audited mixture; ShareGPT expression is covered for current research by MAN-022 deliberate-publication permission acceptance, with privacy safeguards independent.",high,"The Long reconstruction has the same non-ShareGPT composition and 74,312 ShareGPT rows. A focused ID audit found 74,159 original IDs shared with the split artifact, 792 split-only, and 148 Long-only. WizardLM is MIT; ShareGPT expression is covered for current research by MAN-022. On 2026-08-18 the project owner accepted the deliberate publication flow as permission for the current research use; unlike WildChat, no explicit research/product-development consent wording was found.",data/downloads/datasets/allenai_tulu_v2_sft_long_mixture/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-v2-sft-long-mixture,scope_check
allenai/tulu-v2-sft-mixture,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture,allenai_tulu_v2_sft_mixture,4198021020,839604204.0,1.05031001%,odc-by,mixed_direct_and_participant_publication_permission,direct component terms plus MAN-022 acceptance of deliberate ShareGPT public sharing and public-API access as participant permission for current academic/non-commercial research training,nonresearch use remains source- and scope-specific; MAN-022 is not a blanket Apache licence or raw-redistribution permission,no,not_needed_within_direct_scope,"Component-audited mixture; ShareGPT expression is covered for current research by MAN-022 deliberate-publication permission acceptance, with privacy safeguards independent.",high,"All 16 local labels are mapped. WizardLM is MIT; direct/noncommercial terms or recorded FLAN/SciRIFF Article 4 decisions cover every other component. ShareGPT participant expression is covered for current research by MAN-022 deliberate-publication permission acceptance. On 2026-08-18 the project owner accepted the deliberate publication flow as permission for the current research use; unlike WildChat, no explicit research/product-development consent wording was found.",data/downloads/datasets/allenai_tulu_v2_sft_mixture/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/tulu-v2-sft-mixture,scope_check
allenai/verifiable-reasoning-filtered-gpt-41,https://huggingface.co/datasets/allenai/verifiable-reasoning-filtered-gpt-41,allenai_verifiable_reasoning_gpt41,3023504310,604700862.0,0.75645568%,,article3_research_tdm_candidate,"DSM Article 3 candidate for scientific research, lawful access and secure retention required",DSM Article 4 only if lawful access and no effective rights reservation are evidenced,yes,conditional_not_cleared,Top-level dataset repository or agreement source.,low,"The schema-only release maps to the MIT-licensed RLVE-Gym generators, but RLVE source comments link 122 of the 250 retained environment variants to external problem sources (115 to Luogu, plus Codeforces, HDU, SPOJ, X and Wikipedia). Generator-code licensing does not automatically license source problem expression. A 250-variant prompt audit narrowed plausible close/carryover expression, and the project owner manually accepted the complete RLVE family for current academic/research training and downstream-mixture consideration on 2026-08-17; Article 3 remains the fallback where needed.",data/downloads/datasets/allenai_verifiable_reasoning_gpt41/.cache/huggingface/download/README.md.metadata,https://huggingface.co/api/datasets/allenai/verifiable-reasoning-filtered-gpt-41,yes
