effective_source,local_source_label,rows,canonical_component,working_basis,status,notes
allenai/tulu-v2-sft-mixture,code_alpaca,20016,source:sahil280114/codealpaca,CC-BY-NC-4.0 for current academic/non-commercial use,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,cot,49747,component:tulu-v2:flan-v2,direct terms plus MAN-013/MAN-019 Article 4 for uncovered FLAN expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,flan_v2,49123,component:tulu-v2:flan-v2,direct terms plus MAN-013/MAN-019 Article 4 for uncovered FLAN expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,gpt4_alpaca,19906,source:Instruction-Tuning-with-GPT-4/GPT-4-LLM,CC-BY-NC-4.0 for current academic/non-commercial use,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,hard_coded,140,generated:allenai:tulu-v2-hardcoded,Ai2-authored contribution under the ODC-By release,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,lima,1018,hf:GAIR/lima,CC-BY-NC-SA for current academic/non-commercial use,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,oasst1,7331,hf:OpenAssistant/oasst1,Apache-2.0,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,open_orca,29683,hf:Open-Orca/OpenOrca,MIT response/package layer plus MAN-013 Article 4 for uncovered FLAN expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,science.evidence_inference,1674,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,science.qasper_truncated_4000,2218,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,science.scierc_ner,349,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,science.scierc_relation,349,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,science.scifact_json,919,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,science.scitldr_aic,1959,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-mixture,sharegpt,111912,hf:anon8231489123/ShareGPT_Vicuna_unfiltered,MAN-022 accepts deliberate public publication and public-API availability as permission for current academic/non-commercial research training; not a blanket Apache-2.0 licence,cleared,Local row count from the exact downloaded training artifact; privacy controls remain separate.
allenai/tulu-v2-sft-mixture,wizardlm,29810,hf:WizardLMTeam/WizardLM_evol_instruct_V2_196k,MIT,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,code_alpaca,20016,source:sahil280114/codealpaca,CC-BY-NC-4.0 for current academic/non-commercial use,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,cot,49747,component:tulu-v2:flan-v2,direct terms plus MAN-013/MAN-019 Article 4 for uncovered FLAN expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,flan_v2,49123,component:tulu-v2:flan-v2,direct terms plus MAN-013/MAN-019 Article 4 for uncovered FLAN expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,gpt4_alpaca,19906,source:Instruction-Tuning-with-GPT-4/GPT-4-LLM,CC-BY-NC-4.0 for current academic/non-commercial use,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,hard_coded,140,generated:allenai:tulu-v2-hardcoded,Ai2-authored contribution under the ODC-By release,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,lima,1018,hf:GAIR/lima,CC-BY-NC-SA for current academic/non-commercial use,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,oasst1,7331,hf:OpenAssistant/oasst1,Apache-2.0,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,open_orca,29683,hf:Open-Orca/OpenOrca,MIT response/package layer plus MAN-013 Article 4 for uncovered FLAN expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,science.evidence_inference,1674,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,science.qasper_truncated_4000,2218,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,science.scierc_ner,349,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,science.scierc_relation,349,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,science.scifact_json,919,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,science.scitldr_aic,1959,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,Local row count from the exact downloaded training artifact.
allenai/tulu-v2-sft-long-mixture,sharegpt,74312,hf:anon8231489123/ShareGPT_Vicuna_unfiltered,MAN-022 accepts deliberate public publication and public-API availability as permission for current academic/non-commercial research training; not a blanket Apache-2.0 licence,cleared,Local row count from the exact downloaded training artifact; privacy controls remain separate.
allenai/tulu-v2-sft-long-mixture,wizardlm,29810,hf:WizardLMTeam/WizardLM_evol_instruct_V2_196k,MIT,cleared,Local row count from the exact downloaded training artifact.
allenai/SciRIFF-train-mix,SciRIFF tasks,35357,hf:allenai/SciRIFF,ODC-By task layer plus MAN-014 Article 4 for uncovered scholarly expression,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,code_alpaca,2262,source:sahil280114/codealpaca,CC-BY-NC-4.0 for current academic/non-commercial use,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,cot,5532,component:tulu-v2:flan-v2,direct terms plus MAN-013/MAN-019 Article 4 for uncovered FLAN expression,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
allenai/SciRIFF-train-mix,flan_v2,5444,component:tulu-v2:flan-v2,direct terms plus MAN-013/MAN-019 Article 4 for uncovered FLAN expression,cleared,"The local artifact has 35,000 SciRIFF rows and 35,714 Tulu-v2 rows."
