subset,rows,seed_role,visible_seed_text,declared_terms,current_research_basis,copyright_risk,notes
multilingual-synthetic-llama3.1-70B,106630,filtered EuroLLM annealing document used to generate instruction and answer,no,Llama 3.1 terms plus Article 3 for uncovered seed expression,direct_model_terms_plus_article3,medium,Rows preserve seed-derived facts but do not expose the full seed document.
multilingual-synthetic-ifeval-llama3.1-70B,4871,filtered EuroLLM annealing document used to generate constrained instruction and answer,no,Llama 3.1 terms plus Article 3 for uncovered seed expression,direct_model_terms_plus_article3,medium,Generated constraints and factual content can remain derivative of the seed.
multilingual-synthetic-ifeval-llama3.1-405B,23318,filtered EuroLLM annealing document used to generate constrained instruction and answer,no,Llama 3.1 terms plus Article 3 for uncovered seed expression,direct_model_terms_plus_article3,medium,Generated constraints and factual content can remain derivative of the seed.
instruction-generation,5120,seed document embedded in prompt to teach instruction generation,yes,Llama 3.1 terms plus Article 3 for seed document,direct_model_terms_plus_article3,high,The full web document appears between document tags in the user message.
instruction-generation-ifeval,49,seed document embedded in prompt to teach constrained instruction generation,yes,Llama 3.1 terms plus Article 3 for seed document,direct_model_terms_plus_article3,high,The full web document appears between document tags in the user message.
multilingual-synthetic-arc,5219,ARC-like question seed or generated benchmark-style prompt,yes_or_close_adaptation,Llama 3.1 terms plus source-specific benchmark terms,direct_model_terms_plus_source_terms,medium,Examples retain complete multiple-choice question wording; evaluate contamination separately.
multilingual-synthetic-mmlu,927,MMLU-like question seed or generated benchmark-style prompt,yes_or_close_adaptation,Llama 3.1 terms plus source-specific benchmark terms,direct_model_terms_plus_source_terms,medium,Examples retain complete multiple-choice question wording; evaluate contamination separately.
Magpie-Align/Magpie-Llama-3.1-Pro-300K-Filtered,81190,from-scratch Magpie generation,no external seed asserted,Llama 3.1 terms,direct_terms,low,Separate Magpie source already audited.
Magpie-Align/Magpie-Reasoning-150K,56588,synthetic reasoning prompts,no external seed asserted,Llama/Qwen terms and CC-BY-NC-4.0,direct_terms_current_noncommercial,low,Separate Magpie source already audited.
Magpie-Align/Magpie-Qwen-Air-300K-Filtered,26397,synthetic prompts,no external seed asserted,Apache-2.0,direct_terms,low,Separate Magpie source already audited.
self-low-resource,7702,generated with early EuroLLM checkpoint,no,Apache-2.0,direct_terms,low,No retained external seed is identified by the card.
harmful-instruction-refusal,7648,HarmfulQA seed with generated multilingual refusal,source prompt retained,Apache-2.0 HarmfulQA plus Llama terms,direct_terms,low-medium,Preserve the HarmfulQA and model notices.
synthetic-ifeval-magpie,5614,Magpie prompt transformed to IFEval-like data,prompt retained or adapted,Llama terms and Magpie source terms,direct_terms,low,Underlying Magpie records are separately cleared.
synthetic-eurollm-9B,4100,generated by EuroLLM,no,Apache-2.0,direct_terms,low,No external seed is identified by the card.
Magpie-Align/Magpie-Llama-3.1-Pro-DPO-100K-v0.1,2511,synthetic preference prompt and answers,prompt retained,Llama 3.1 terms,direct_terms,low,Separate Magpie source already audited.
CohereForAI/aya_dataset,2121,retained Aya records,prompt retained,Apache-2.0,direct_terms,low-medium,Preserve Aya attribution and source notices.
eurollm-hardcoded,281,project-authored instructions,no,Apache-2.0,direct_terms,low,Hardcoded project contribution.
