source_label,rows_in_upstream_mixture,component_dataset,working_basis,status,qualification
ai2-adapt-dev/personahub_math_v5_regen_149960,149960,allenai/tulu-3-personas-math,"ODC-By release; audited synthetic PersonaHub/GPT-4o layer",cleared,"Attribution and generated-output terms retained"
ai2-adapt-dev/evol_codealpaca_heval_decontaminated,107276,theblackcat102/evol-codealpaca-v1,Apache-2.0,cleared,"Decontaminated subset"
ai2-adapt-dev/tulu_v3.9_wildchat_100k,100000,allenai/WildChat-1M,"ODC-By plus express WildChat training permission accepted by project owner",cleared,"Privacy remains a separate control"
ai2-adapt-dev/tulu_v3.9_aya_100k,100000,CohereForAI/aya_dataset,Apache-2.0,cleared,"Preserve notices"
ai2-adapt-dev/flan_v2_converted,89982,ai2-adapt-dev/flan_v2_converted,"Converted FLAN/OpenOrca artifact; project-owner Article 4 determination for uncovered upstream task expression",cleared,"Lineage and acquisition-time reservation evidence remain partial; Article 3 is not relied on"
ai2-adapt-dev/numinamath_tir_math_decontaminated,64312,AI-MO/NuminaMath-TIR,Apache-2.0,cleared,"Decontaminated subset"
ai2-adapt-dev/tulu_v3.9_open_math_2_gsm8k_50k,50000,allenai/open_math_2_50k_r1-original,"CC-BY-4.0 OpenMathInstruct-2; MIT GSM8K seed; MIT DeepSeek output permission",cleared,"This component is present in the rows but omitted from the Tulu 3 card's component list"
ai2-adapt-dev/tulu_v3.9_wildjailbreak_decontaminated_50k,50000,allenai/wildjailbreak,"ODC-By synthetic Ai2 release plus Responsible Use access conditions",cleared,"GPT-4/GPT-3.5/Mixtral-generated safety prompts and responses"
ai2-adapt-dev/tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k,50000,allenai/wildguardmix,Apache-2.0,cleared,"Generated/decontaminated Tulu subset"
allenai/tulu-3-sft-personas-math-grade,49980,allenai/tulu-3-sft-personas-math-grade,"ODC-By release; audited synthetic PersonaHub/GPT-4o layer",cleared,"Attribution and generated-output terms retained"
ai2-adapt-dev/personahub_code_v2_34999,34999,allenai/tulu-3-sft-personas-code,"ODC-By release; audited PersonaHub/GPT-4o/Claude layer",cleared,"Attribution and named model-output terms retained"
ai2-adapt-dev/personahub_ifdata_manual_seed_v3_29980,29980,allenai/tulu-3-sft-personas-instruction-following,"ODC-By release; audited PersonaHub/Ai2/IFEval/GPT-4o layer",cleared,"Attribution and generated-output terms retained"
ai2-adapt-dev/tulu_v3.9_personahub_math_interm_algebra_20k,20000,allenai/tulu-3-personas-algebra,"ODC-By release; audited synthetic PersonaHub/GPT-4o layer",cleared,"Attribution and generated-output terms retained"
ai2-adapt-dev/coconot_converted,10983,allenai/coconot,"ODC-By/Impact-LR release of Ai2-authored taxonomy and model-generated training material",cleared,"Follow Ai2 Responsible Use/Impact-LR conditions"
ai2-adapt-dev/tulu_v3.9_sciriff_10k,10000,allenai/SciRIFF,"ODC-By task layer; project-owner Article 4 determination for uncovered retained scientific-paper expression",cleared,"10K rows span approximately 39 task families; source-document lineage and acquisition-time reservation evidence remain partial"
ai2-adapt-dev/no_robots_converted,9500,HuggingFaceH4/no_robots,CC-BY-NC-4.0,cleared,"Academic/non-commercial project scope"
ai2-adapt-dev/oasst1_converted,7131,OpenAssistant/oasst1,Apache-2.0,cleared,"Card reports 7132; local mixture contains 7131"
ai2-adapt-dev/tulu_v3.9_table_gpt_5k,5000,LipengCS/Table-GPT,MIT,cleared,"Preserve notice"
ai2-adapt-dev/tulu_hard_coded_repeated_10,240,allenai/tulu-3-hard-coded,CC-BY-4.0,cleared,"Repeated hard-coded Ai2 examples"
