suite,task,checkpoint,scheduler_group_width,job_rows,completed_jobs,failed_jobs,skipped_jobs,job_statuses,result_locations,plan_evidence,freeze_status
dfm,dala,step_1650000_ema,1,1,1,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/dala/shard_0_of_1/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,danish_citizen_tests,step_1650000_ema,1,1,1,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/danish_citizen_tests/shard_0_of_1/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,gec_dala,step_1650000_ema,2,2,2,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/gec_dala/shard_0_of_2/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/gec_dala/shard_1_of_2/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,generative_talemaader,step_1650000_ema,8,8,8,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_0_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_1_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_2_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_3_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_4_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_5_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_6_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/generative_talemaader/shard_7_of_8/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,govreport,step_1650000_ema,16,16,16,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_0_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_10_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_11_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_12_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_13_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_14_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_15_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_1_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_2_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_3_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_4_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_5_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_6_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_7_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_8_of_16/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/govreport/shard_9_of_16/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,humaneval,step_1650000_ema,4,4,4,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/humaneval/shard_0_of_4/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/humaneval/shard_1_of_4/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/humaneval/shard_2_of_4/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/humaneval/shard_3_of_4/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,multi_wiki_qa,step_1650000_ema,2,2,2,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/multi_wiki_qa/shard_0_of_2/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/multi_wiki_qa/shard_1_of_2/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,nordjyllandnews,step_1650000_ema,8,8,8,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_0_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_1_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_2_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_3_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_4_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_5_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_6_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/nordjyllandnews/shard_7_of_8/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,piqa,step_1650000_ema,1,1,1,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/piqa/shard_0_of_1/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
dfm,wmt24pp_en_da,step_1650000_ema,8,8,8,0,0,done,logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_0_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_1_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_2_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_3_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_4_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_5_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_6_of_8/step_1650000;logs/dfm_evals/dfm8_XL_steps1250k_1450k_vllm_hrmenv/step_1650000/wmt24pp_en_da/shard_7_of_8/step_1650000,logs/scheduler/dfm8_XL_steps1250k_1450k_vllm_hrmenv_20260714_094255/plan.tsv,local_outputs_present_task_revision_and_raw_output_retention_review_open
