layer,subset,upstream,rows,tokens_m,contribution_type,declared_terms,current_research_basis,provenance_completeness,copyright_risk,notes
SmolTalk,smol-magpie-ultra,HuggingFaceTB/smoltalk,409537,,project-generated,Llama 3.1 generation plus Apache-2.0 dataset terms,direct_terms,complete,low,Synthetic prompts and responses generated by the SmolTalk project.
SmolTalk,smol-constraints,HuggingFaceTB/smoltalk,34424,,project-generated,Apache-2.0,direct_terms,complete,low,Synthetic constraint-following records decontaminated against IFEval.
SmolTalk,smol-rewrite,HuggingFaceTB/smoltalk,53342,,project-generated,Apache-2.0,direct_terms,complete,low,Synthetic rewriting records.
SmolTalk,smol-summarize,HuggingFaceTB/smoltalk,96356,,project-generated,Apache-2.0,direct_terms,complete,low,Synthetic email and news summarization records.
SmolTalk,apigen-80k,argilla/apigen-function-calling,83144,,imported synthetic,CC-BY-4.0,direct_terms,complete,low,Mixture of Synth-APIGen and Salesforce xLAM synthetic function-calling records.
SmolTalk,everyday-conversations,HuggingFaceTB/everyday-conversations-llama3.1-2k,2260,,imported synthetic,Apache-2.0,direct_terms,complete,low,Synthetic multi-turn everyday conversations.
SmolTalk,explore-instruct-rewriting,Wanfq/Explore_Instruct_Rewriting_32k,30400,,imported synthetic,CC-BY-NC-4.0,direct_terms_current_noncommercial,complete,low,NonCommercial restriction is compatible with the current academic non-commercial purpose.
SmolTalk,longalign,THUDM/LongAlign-10k,3547,,retained source documents,no dataset licence found,article3_current_research,partial,high,English records below the SmolTalk context cutoff retain long source documents verbatim.
SmolTalk,metamathqa-50k,meta-math/MetaMathQA,47500,,imported math prompts and synthetic solutions,MIT,direct_terms,complete,medium,Package terms are direct; preserve source notices for retained mathematical problems.
SmolTalk,numina-cot-100k,AI-MO/NuminaMath-CoT,106147,,imported math prompts and solutions,Apache-2.0,direct_terms,complete,medium,Package terms are direct; the corpus contains competition and olympiad problem expression.
SmolTalk,openhermes-100k,teknium/OpenHermes-2.5,95000,,imported mixture,no aggregate dataset licence declared,inherited_component_bases_plus_article4,partial,medium-high,See the OpenHermes component audit; Article 4 was selected for four uncovered subfamilies and Article 3 is not relied on.
SmolTalk,self-oss-instruct,bigcode/self-oss-instruct-sc2-exec-filter-50k,48127,,imported code instructions,ODC-By,direct_terms,complete,low-medium,Preserve database attribution and source-code notices where supplied.
SmolTalk,systemchats-30k,QuixiAI/SystemChat-2.0,34133,,imported synthetic,Apache-2.0,direct_terms,complete,low,Synthetic system-prompt conversations.
SmolTalk2,smoltalk-smollm3_everyday-conversations_no_think,HuggingFaceTB/everyday-conversations-llama3.1-2k,2260,0.63,retained SmolTalk subset,Apache-2.0,inherited_direct_terms,complete,low,Original no-think responses.
SmolTalk2,smoltalk-smollm3_systemchats-30k_no_think,QuixiAI/SystemChat-2.0,33997,22.06,retained SmolTalk subset,Apache-2.0,inherited_direct_terms,complete,low,Original no-think responses.
SmolTalk2,tulu-3-sft-personas-instruction-following_no_think,allenai/tulu-3-sft-personas-instruction-following,29970,13.83,retained prompts and responses,ODC-By mixture plus audited component bases,inherited_audited_tulu_basis,complete,low-medium,The Tulu branch is separately decomposed; uncovered FLAN/SciRIFF expression uses the recorded Article 4 decision.
SmolTalk2,hermes-function-calling-v1_no_think,NousResearch/hermes-function-calling-v1,8961,11.38,retained synthetic tool use,Apache-2.0,inherited_direct_terms,complete,low,Synthetic tool-use records.
SmolTalk2,smoltalk-smollm3_smol-magpie-ultra_no_think,HuggingFaceTB/smoltalk,406843,619.05,retained project-generated subset,Apache-2.0,inherited_direct_terms,complete,low,SmolTalk-generated prompts and responses.
SmolTalk2,smoltalk-multilingual-8languages_lang_5_no_think,HuggingFaceTB/smoltalk,254047,166.79,translated and generated from SmolTalk prompts,Apache-2.0,inherited_direct_terms,complete,low,Prompts derive from Smol-Magpie-Ultra and Smol-Constraints and responses were regenerated by Qwen.
SmolTalk2,table-gpt_no_think,LipengCS/Table-GPT,13203,11.49,retained table instructions,MIT,inherited_direct_terms,complete,low-medium,Preserve source notices for table contents.
SmolTalk2,OpenHermes-2.5_no_think,teknium/OpenHermes-2.5,384900,158.23,retained mixture,no aggregate dataset licence declared,inherited_component_bases,partial,medium-high,Weight 0.5 in the published SmolTalk2 recipe; see OpenHermes component audit.
SmolTalk2,OpenThoughts3-1.2M_no_think_no_think,open-thoughts/OpenThoughts3-1.2M,435193,379.82,retained prompts with reasoning removed,Apache-2.0,inherited_direct_terms,complete,low-medium,Removing a reasoning trace does not change prompt provenance.
SmolTalk2,Mixture-of-Thoughts_science_no_think,open-r1/Mixture-of-Thoughts,86110,37.51,retained science prompts with reasoning removed,no aggregate dataset licence declared,inherited_component_bases,partial,medium-high,The NVIDIA science layer has per-sample terms; removal of traces leaves source prompts intact.
SmolTalk2,smoltalk-smollm3_explore-instruct-rewriting_no_think,Wanfq/Explore_Instruct_Rewriting_32k,30391,4.63,retained rewriting records,CC-BY-NC-4.0,inherited_direct_terms_current_noncommercial,complete,low,Current use is academic and non-commercial.
SmolTalk2,smoltalk-smollm3_smol-rewrite_no_think,HuggingFaceTB/smoltalk,53262,20.34,retained project-generated subset,Apache-2.0,inherited_direct_terms,complete,low,Synthetic rewriting records.
SmolTalk2,smoltalk-smollm3_smol-summarize_no_think,HuggingFaceTB/smoltalk,96061,51.82,retained project-generated subset,Apache-2.0,inherited_direct_terms,complete,low,Synthetic summarization records.
SmolTalk2,LongAlign-64k-context-lang-annotated_lang_6_no_think,THUDM/LongAlign-10k,6249,95.78,retained source documents,no dataset licence found,article3_current_research,partial,high,Source documents are retained nearly verbatim in long contexts.
SmolTalk2,multi-turn-reasoning-if_think,allenai/tulu-3-sft-personas-instruction-following,28217,97.62,generated multi-turn derivative,Apache-2.0 for new layer plus audited Tulu prompt bases,inherited_audited_tulu_basis,complete,low-medium,Qwen-generated turns retain Tulu persona prompts.
SmolTalk2,smoltalk-everyday-convs-reasoning-Qwen3-32B_think,HuggingFaceTB/everyday-conversations-llama3.1-2k,2057,3.17,regenerated responses,Apache-2.0,inherited_direct_terms,complete,low,Prompts are inherited from the Apache-2.0 source.
SmolTalk2,smoltalk-systemchats-Qwen3-32B_think,QuixiAI/SystemChat-2.0,27436,29.84,regenerated responses,Apache-2.0,inherited_direct_terms,complete,low,Prompts are inherited from the Apache-2.0 source.
SmolTalk2,xlam-traces_no_think,Salesforce/xlam-function-calling-60k,59962,29.40,retained synthetic tool use,CC-BY-4.0,inherited_direct_terms,complete,low,Verified synthetic API records.
SmolTalk2,smolagents-toolcalling-traces_think,HuggingFaceTB/smoltalk2,9079,63.81,project-generated tool traces,Apache-2.0,direct_terms,complete,low,DeepSeek-generated tool-calling traces created by the SmolTalk2 project.
SmolTalk2,s1k-1.1_think,open-r1/s1K-1.1,835,8.25,retained reasoning,MIT,inherited_direct_terms,complete,low-medium,Formatting derivative of the MIT s1K source.
SmolTalk2,LongAlign-64k-Qwen3-32B-yarn-131k_think,THUDM/LongAlign-10k,7526,136.21,regenerated answers over retained documents,Apache-2.0 only for new response layer plus no source-document licence,article3_current_research,partial,high,Qwen regeneration does not erase rights in the retained long document.
SmolTalk2,aya_dataset-Qwen3-32B_think,CohereForAI/aya_dataset,15222,18.92,regenerated responses,Apache-2.0,inherited_direct_terms,complete,low-medium,Aya prompts are retained and responses regenerated.
SmolTalk2,smoltalk-multilingual8-Qwen3-32B_think,HuggingFaceTB/smoltalk,244736,551.97,translated prompts and regenerated responses,Apache-2.0,inherited_direct_terms,complete,low,Derived from SmolTalk project-generated prompts.
SmolTalk2,OpenThoughts3-1.2M_think,open-thoughts/OpenThoughts3-1.2M,1133524,16734.00,retained reasoning,Apache-2.0,inherited_direct_terms,complete,low-medium,Weight 0.02 in the published recipe.
SmolTalk2,table-gpt-Qwen3-32B_think,LipengCS/Table-GPT,13201,25.92,regenerated responses,Apache-2.0 for new response layer plus MIT source,inherited_direct_terms,complete,low-medium,Prompts and table contents follow Table-GPT source terms.
