parent_id,child_id,relation,required_for_clearance,average_tokens_per_epoch,evidence,notes
component:dfm-dyna:agentic-code,generated:synquid:agentic-code-curation,curation_and_conversion,yes,,,
component:dfm-dyna:agentic-code,hf:nvidia/Nemotron-SFT-OpenCode-v1,retains_code_prompts_or_responses,yes,,,
component:dfm-dyna:agentic-code,hf:nvidia/Nemotron-SFT-SWE-v2,retains_code_prompts_or_responses,yes,,,
component:dfm-dyna:agentic-code,hf:nvidia/OpenCodeInstruct,retains_code_prompts_or_responses,yes,,,
component:dfm-dyna:apertus,hf:swiss-ai/apertus-sft-mixture,repackages,yes,,,
component:dfm-dyna:da-refusals,generated:dfm:da-refusals,generated_content,yes,,,
component:dfm-dyna:danish-verifiable-reasoning,generated:synquid:transformations,translated_or_generated_solution_layer,yes,,,
component:dfm-dyna:danish-verifiable-reasoning,work:dolci-puzzle-prompts,retains_prompts,yes,,,
component:dfm-dyna:ifbench-train,generated:synquid:transformations,adds_constraints_and_answers,yes,,,
component:dfm-dyna:ifbench-train,work:wildchat-human-prompts,retains_prompts,yes,,,
component:dfm-dyna:mt-da-deepseek,generated:synquid:transformations,generated_conversation_layer,yes,,,
component:dfm-dyna:mt-da-deepseek,work:dynaword-covered-passages,seed_content,yes,,,
component:dfm-dyna:translation-100k,generated:oliverkinch:transformations,authored_prompt_layer,yes,,,
component:dfm-dyna:translation-100k,work:covered-opus-eu-corpora,retains_parallel_text,yes,,,
component:dfm-dyna:when2call,generated:dfm:when2call,generated_content,yes,,,
component:dfm-dyna:wiki-instruct-da,generated:synquid:transformations,authored_prompt_layer,yes,,,
component:dfm-dyna:wiki-instruct-da,work:danish-wikipedia,retains_source_text,yes,,,
component:dfm-dyna:wildchat-qwen,generated:dfm:wildchat-qwen-responses,replaces_or_extends_assistant_turns,yes,,,
component:dfm-dyna:wildchat-qwen,work:wildchat-human-prompts,retains_prompts,yes,,,
hf:HuggingFaceTB/smoltalk2,generated:smoltalk2:multi-turn-if,authored_or_generated_contribution,yes,,,
hf:HuggingFaceTB/smoltalk2,generated:smoltalk2:qwen-regenerated,authored_or_generated_contribution,yes,,,
hf:HuggingFaceTB/smoltalk2,generated:smoltalk2:smolagents-toolcalling,authored_or_generated_contribution,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:CohereForAI/aya_dataset,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:HuggingFaceTB/smoltalk,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:LipengCS/Table-GPT,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:NousResearch/hermes-function-calling-v1,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:Salesforce/xlam-function-calling-60k,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:THUDM/LongAlign-10k,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:allenai/tulu-3-sft-personas-instruction-following,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:open-r1/Mixture-of-Thoughts,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:open-r1/s1K-1.1,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:open-thoughts/OpenThoughts3-1.2M,seed_or_retained_content,yes,,,
hf:HuggingFaceTB/smoltalk2,hf:teknium/OpenHermes-2.5,seed_or_retained_content,yes,,,
hf:allenai/WildChat-1M,work:wildchat-human-prompts,contains_human_conversations,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:AI-MO/NuminaMath-TIR,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:CohereForAI/aya_dataset,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:HuggingFaceH4/no_robots,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:LipengCS/Table-GPT,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:OpenAssistant/oasst1,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:ai2-adapt-dev/flan_v2_converted,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:allenai/SciRIFF,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:allenai/WildChat-1M,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:allenai/coconot,retains_prompts_or_responses,yes,,,
hf:allenai/tulu-3-sft-olmo-2-mixture-0225,hf:allenai/open_math_2_50k_r1-original,retains_prompts_or_responses,yes,,,
