family,source_files,rows_per_epoch,tokens_per_epoch,canonical_upstream,retained_expression,working_basis,article3_outcome,status,remaining_caveat,evidence
RACE,72,6064572,5928810490.0,EleutherAI/race,"Exam passages questions choices and answers survive FLAN templating",Article 4 / Danish section 11 b based on lawful long-running public distribution and no known reservation,not_required_article4,cleared_by_project_owner,"No explicit open content licence was found; acquisition-time reservation evidence is incomplete","Official RACE paper and release page; EleutherAI/race revision 66ca2e6374282f5e35b11559e87185db911a6900; project-owner decision 2026-08-17"
SQuAD,16,1627770,818403640.0,"rajpurkar/squad; rajpurkar/squad_v2","Wikipedia passages questions and answers survive FLAN templating",CC-BY-SA-4.0,not_required,cleared,"Preserve attribution and ShareAlike analysis for any redistributed adapted dataset","HF cards at revisions 7b6d24c440a36b6815f21b70d25016731768db1f and 3ffb306f725f7d2ce8394bc1873b24868140c412"
QuAC,4,643736,712351845.8,allenai/quac,"Wikipedia sections and crowd-authored dialogue turns survive FLAN templating",MIT dataset release plus Wikipedia source terms,not_required,cleared,"Preserve MIT notice and Wikipedia attribution/ShareAlike obligations","allenai/quac card revision 2c1b73f07a629a338127b6a9761c64bf3e969179"
ROPES,54,1151996,710297538.0,allenai/ropes,"Background passages situations questions and answers survive FLAN templating",CC-BY-4.0,not_required,cleared,"Preserve attribution","allenai/ropes card revision d59f1e2ee2b423d7c6ba71edd47fceb4158b07dd"
DROP,10,716698,617533186.8,ucinlp/drop,"Passages questions and numerical answers survive FLAN templating",CC-BY-SA-4.0,not_required,cleared,"Preserve attribution and ShareAlike analysis for redistributed adapted data","ucinlp/drop card revision 95cda593fae71b60b5b19f82de3fcf3298c1239c"
HotpotQA/KILT,28,3487912,595781798.0,hotpotqa/hotpot_qa,"Wikipedia evidence questions and answers survive FLAN and KILT templating",CC-BY-SA-4.0,not_required,cleared,"All retained KILT-labelled factual tasks map to HotpotQA; preserve attribution and ShareAlike analysis","hotpotqa/hotpot_qa card revision 1908d6afbbead072334abe2965f91bd2709910ab"
WikiDialog,4,800000,366934118.2,djaym7/wiki_dialog,"One speaker uses exact Wikipedia sentences and the other is model-generated",Wikipedia CC-BY-SA/GFDL source terms plus publicly released synthetic dialogue layer,not_required,cleared,"No independent standard licence field appears on the HF mirror; preserve Wikipedia attribution and ShareAlike analysis","Official TFDS WikiDialog description; Google dialog-inpainting release; djaym7/wiki_dialog revision d9edf5a5e28bbde9ba3989e44e5566809aa40157"
DREAM,28,372976,192229708.0,dataset-org/dream,"Human-authored EFL examination dialogues questions choices and answers survive FLAN templating",Article 4 / Danish section 11 b based on lawful long-running public distribution and no known reservation,not_required_article4,cleared_by_project_owner,"The official release supplies data and code but no explicit open content licence was found; acquisition-time reservation evidence is incomplete","Official DREAM project and paper; dataset-org/dream revision 78b128b6aa3ac08913a19a3c71064bf23206bdf6; project-owner decision 2026-08-17"
CoQA,8,64274,82494160.0,stanfordnlp/coqa,"Passages and conversational questions and answers survive FLAN templating","Source-specific direct terms for public domains; Article 4 / Danish section 11 b for the RACE-derived and otherwise uncovered layer",not_required_for_uncovered_component_article4,cleared_by_project_owner,"The public corpus mixes CC-BY-SA literature/Wikipedia MSR-LA MCTest Apache CNN and RACE-derived examination passages; acquisition-time reservation evidence is incomplete","Official CoQA licensing statement; stanfordnlp/coqa revision 0d9e9952f1ef6e5415492d3d84b5873259137e3c; project-owner decision 2026-08-17"
TriviaQA,8,673106,61108488.2,mandarjoshi/trivia_qa,"Retained FLAN rows contain trivia questions and short answers but no evidence documents or source URLs","Article 4 / Danish section 11 b for 12 question-source groups; Article 3 / Danish section 11 c for JetPunk and TriviaCountry",mixed_article4_article3,cleared,"The publisher disclaims ownership; JetPunk currently has an explicit ai-train=no signal and TriviaCountry disallows all robots","Official TriviaQA release; source-level exact-question mapping and current reservation probe in legal/registers/dfm9-triviaqa-source-rights.csv"
BoolQ,8,126662,50877384.0,google/boolq,"Natural questions Wikipedia passages and boolean labels survive FLAN templating",CC-BY-SA-3.0,not_required,cleared,"Preserve attribution and ShareAlike analysis","Official BoolQ repository; google/boolq revision 35b264d03638db9f4ce671b711558bf7ff0f80d5"
Natural Questions,4,671634,46898189.4,google-research-datasets/natural_questions,"Real search questions Wikipedia passages and annotated answers survive FLAN templating",CC-BY-SA-3.0 dataset release,not_required,cleared,"Preserve attribution and ShareAlike analysis; privacy remains a separate review axis","Official Natural Questions download page; HF revision e8103d566bef4154c2c12b17c6095ec5275840cc"
WebQuestions,22,181016,15845676.0,stanfordnlp/web_questions,"Crowd-authored natural-language questions and Freebase answers survive FLAN templating",Article 4 / Danish section 11 b based on lawful long-running public distribution and no known reservation,not_required_article4,cleared_by_project_owner,"No explicit open content licence was found; acquisition-time reservation evidence is incomplete","Original WebQuestions paper/release lineage; stanfordnlp/web_questions revision 0e473cbe21d1e91ec18da343644498be6a3f5454; project-owner decision 2026-08-17"
