node_id,average_tokens_per_epoch,computed_status,current_basis,next_action
hf:schneiderkamplab/opus-da-en-permissive,2903437259.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:allenai/big-reasoning-traces,1656898949.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:oliverkinch/danish-summarization,168358988.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:common-pile/arxiv_papers_filtered,129586132.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:danish-foundation-models/ai_arena_udtraek,45690600.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:oliverkinch/danish-university-portals-bt,21765750.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:oliverkinch/eur-lex-bt,16694550.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:oliverkinch/instruct-bt,13460570.0,cleared,direct per-source licence or DFM/data-owner agreement permitting training and model release,"identify retained works, generated contributions, and shared upstream dependencies"
hf:allenai/RLVR-MATH,8067070.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:ccdv/govreport-summarization,4412302.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
hf:oliverkinch/eur-lex-sum-instruct,2628790.0,cleared,"direct per-record/per-corpus licence or public-domain status, with attribution/share-alike compliance","identify retained works, generated contributions, and shared upstream dependencies"
