question_source,estimated_rows_per_epoch,allocated_tokens_per_epoch,current_probe_2026_08_17,current_basis,status,qualification,manual_override,override_scope
www.sfquiz.org.uk,165241.6,14802302.4,"Original domain expired in 2025 and now redirects to a domain marketplace; no TDM reservation found in retained dataset metadata",Article 4 / Danish section 11 b,cleared_by_project_owner,"Historical acquisition-time endpoint evidence is unavailable; project decision relies on lawful long-running public HF distribution and no known reservation or challenge",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://www.odquiz.org.uk/,87531.6,8050401.7,"Current endpoint timed out; no TDM reservation found in retained dataset metadata",Article 4 / Danish section 11 b,cleared_by_project_owner,"Historical acquisition-time endpoint evidence is unavailable; project decision relies on lawful long-running public HF distribution and no known reservation or challenge",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://www.quizwise.com/,81555.8,7891549.9,"No TDMRep/header/meta signal; robots allows all",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://www.quizballs.com/,66269.1,5867137.4,"No TDMRep/header/meta signal; robots only restricts wp-admin",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://www.businessballs.com/,53971.3,4902491.4,"No TDMRep/header/meta signal; robots expressly allows GPTBot ClaudeBot Google-Extended and other AI agents outside a technical asset path",Article 4 / Danish section 11 b,cleared_by_project_owner,"Strong current machine-readable non-reservation signal",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
https://derbyshirepubquizleague.wordpress.com/,36677.2,3185242.6,"No TDMRep/header/meta signal; robots restrictions are administrative/technical paths",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
https://quizguy.wordpress.com/,26737.9,2640613.5,"No TDMRep/header/meta signal; robots restrictions are administrative/technical paths",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://www.wrexhamquizleague.co.uk/,26696.7,2520997.8,"No TDMRep/header/meta signal and no robots file",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
www.jetpunk.com,29449.2,2495209.0,"Current robots states Content-Signal: search=yes,ai-train=no,use=reference and blocks named AI crawlers",Article 3 / Danish section 11 c,cleared_for_current_research,"Current express machine-readable AI-training reservation prevents affirmative Article 4 treatment; timing relative to original TriviaQA collection is not established",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; source-level reservation remains recorded but is non-blocking"
https://www.quiz-zone.co.uk/,25099.7,2242050.0,"No TDMRep/header/meta signal and no robots file",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://billturnbull.quiz4free.com/,25275.8,2129594.0,"No TDMRep/header/meta signal and no robots file",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://quiz4free.com/,20016.8,1732267.8,"No TDMRep/header/meta signal and no robots file",Article 4 / Danish section 11 b,cleared_by_project_owner,"Current probe supports absence of reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
http://www.triviacountry.com/,18010.4,1547787.3,"No explicit TDM signal found but robots disallows all agents",Article 3 / Danish section 11 c,cleared_for_current_research,"A generic robots prohibition may or may not be an appropriate express Article 4 reservation; conservative current-research fallback",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; source-level reservation remains recorded but is non-blocking"
http://triviabug.com/q-and-a-quizzes/,10521.0,1100843.6,"No TDMRep/header/meta signal or robots file; footer says All Rights Reserved but does not expressly reserve TDM",Article 4 / Danish section 11 b,cleared_by_project_owner,"Generic copyright notice is not recorded as an express TDM reservation; historical evidence remains incomplete",yes,"TriviaQA publisher's express Apache-2.0-for-code-and-data representation accepted by project owner for current training; provenance caveats retained"
