pipeline,family,source_or_seed,generator,judge,input_or_generated_rows,audited_rows,accepted_rows,evidence,limitations
dfm8_targeted_synthetic,ALL_FAMILIES,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),4800000,4580233,3809300,export-upload-dfm8-synthetic/build_summary.json,aggregate pipeline counts; family manifests preserve accepted counts only
dfm8_targeted_synthetic,code_debugging,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),,,340711,export-upload-dfm8-synthetic/build_summary.json,per-family generated/audited denominator is not in the upload manifest
dfm8_targeted_synthetic,constrained_format_following,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),,,838905,export-upload-dfm8-synthetic/build_summary.json,per-family generated/audited denominator is not in the upload manifest
dfm8_targeted_synthetic,danish_summarization_rewrite_controls,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),,,825861,export-upload-dfm8-synthetic/build_summary.json,per-family generated/audited denominator is not in the upload manifest
dfm8_targeted_synthetic,multiturn_danish_english_chat,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),,,414196,export-upload-dfm8-synthetic/build_summary.json,per-family generated/audited denominator is not in the upload manifest
dfm8_targeted_synthetic,native_tool_calling,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),,,836675,export-upload-dfm8-synthetic/build_summary.json,per-family generated/audited denominator is not in the upload manifest
dfm8_targeted_synthetic,strict_math_answer_contract,pipeline-specific public/source-derived seeds,Gemma 4 31B (posttrain-gemma-teacher),Gemma 4 31B (posttrain-gemma-teacher),,,552952,export-upload-dfm8-synthetic/build_summary.json,per-family generated/audited denominator is not in the upload manifest
dfm8_openhermes_repair,english,teknium/OpenHermes-2.5,Gemma 4 31B repair,Gemma 4 31B source and repair audit,1001551,1001551,918095,export-upload-dfm8-openhermes-repaired/build_summary.json,accepted total combines clean and repaired rows; source rights remain inherited
dfm8_openhermes_translation_repair,danish,teknium/OpenHermes-2.5 plus accepted English repairs,Gemma 4 31B translation and repair,Gemma 4 31B Danish audit,1001551,991114,967334,export-upload-dfm8-openhermes-repaired/build_summary.json,final total includes replacements and accepted retries; source rights remain inherited
dfm8_broad_transform_expansion,common-pile-denoising,Common Pile,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,636413,636413,580434,data/dfm8_transform_expansion_filtered/common-pile-denoising/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,common-pile-paragraph-reordering,Common Pile,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,85029,85029,43821,data/dfm8_transform_expansion_filtered/common-pile-paragraph-reordering/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,common-pile-prefix-continuation,Common Pile,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,774936,774936,703658,data/dfm8_transform_expansion_filtered/common-pile-prefix-continuation/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,common-pile-span-filling,Common Pile,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,634288,634288,572098,data/dfm8_transform_expansion_filtered/common-pile-span-filling/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,danish-dynaword-denoising,Danish DynaWord,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,150773,150773,137520,data/dfm8_transform_expansion_filtered/danish-dynaword-denoising/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,danish-dynaword-paragraph-reordering,Danish DynaWord,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,69707,69707,34931,data/dfm8_transform_expansion_filtered/danish-dynaword-paragraph-reordering/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,danish-dynaword-prefix-continuation,Danish DynaWord,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,234008,234008,201507,data/dfm8_transform_expansion_filtered/danish-dynaword-prefix-continuation/filter_summary.json,transformed output retains source provenance and may retain source expression
dfm8_broad_transform_expansion,danish-dynaword-span-filling,Danish DynaWord,deterministic task transform plus Gemma 4 31B generation where applicable,Gemma 4 31B audit; accepted rows only,134580,134580,124414,data/dfm8_transform_expansion_filtered/danish-dynaword-span-filling/filter_summary.json,transformed output retains source provenance and may retain source expression
