component,upstream,rows,share_percent,identification,declared_terms,current_research_basis,provenance_completeness,copyright_risk,notes
airoboros2.2,jondurbin/airoboros-2.2,35380,3.532,source label,custom other terms,inherited_terms_plus_article4,partial,medium,Most rows are GPT-4 generated; Article 4 was selected for reformatted public-dataset summaries whose work-level terms are not mapped.
CamelAI,camel-ai/{physics|math|chemistry|biology},78390,7.827,source label,CC-BY-NC-4.0,direct_terms_current_noncommercial,complete,low,Current academic non-commercial use fits the declared restriction.
caseus_custom,unidentified Caseus custom contribution,2688,0.268,source label,no source page or terms captured,article4_current_use,partial,medium,Small unresolved custom source family; project-owner Article 4 determination recorded 2026-08-17.
LMSys_Chatbot_Arena,lmsys/chatbot_arena_conversations,3136,0.313,source label,CC-BY-4.0 prompts and CC-BY-NC-4.0 model outputs plus user consent,direct_terms_current_noncommercial,complete,low-medium,The official card expressly identifies training as an intended use and records consent through collection terms.
teknium_custom,OpenHermes curator-authored custom rows,58,0.006,contiguous block and custom_instruction metadata,project contribution,direct_permission,complete,low,Curator-authored custom instructions.
cot_alpaca_gpt4,source page lost by OpenHermes curator,42026,4.196,source label,no recoverable source terms,article4_current_use,partial,medium-high,The OpenHermes card expressly says the source page was lost; project-owner Article 4 determination recorded 2026-08-17.
Econ_domain_expert,teknium/dataforge-economics,660,0.066,source label,MIT,direct_terms,complete,low,Synthetic economics domain-expert records.
EvolInstruct_70k,WizardLM/WizardLM_evol_instruct_70k,51948,5.187,source label,MIT,direct_terms,complete,low-medium,Synthetic evolved instructions; preserve the source notice.
glaive-code-assist,glaiveai/glaive-code-assistant,182240,18.196,source label,Apache-2.0,direct_terms,complete,low,Synthetic code-assistant conversations.
GPT-4_Comparison_Data,Instruction-Tuning-with-GPT-4/GPT-4-LLM,14928,1.490,source label,CC-BY-NC-4.0 research-only,direct_terms_current_noncommercial,complete,low,Official repository expressly licenses the comparison data for research use.
GPTeacher,teknium1/GPTeacher,28811,2.877,inferred contiguous block and row shape,MIT,direct_terms,complete,low,Synthetic general and roleplay instructions generated with GPT-4.
lmsys1m,lmsys/lmsys-chat-1m,1631,0.163,source label,gated research dataset with consent and use restrictions,direct_research_permission,partial,low-medium,Retain privacy and non-reidentification controls; exact historical output-model terms remain per sample.
CogStackMed,CogStack/OpenGPT,4443,0.444,source label,Apache-2.0,direct_terms,complete,low,Synthetic medical task contribution from the Apache-2.0 OpenGPT project.
metamath,meta-math/MetaMathQA,56448,5.636,source label,MIT,direct_terms,complete,medium,Package terms are direct; retained competition/problem expression should keep source notices.
SlimOrca,Open-Orca/SlimOrca,414062,41.342,inferred contiguous block verified against source rows,MIT response/package layer plus FLAN source bases,direct_terms_plus_recorded_article4,partial,medium,The project-owner Article 4 decision for uncovered FLAN expression applies; Article 3 is not relied on.
platypus,garage-bAInd/Open-Platypus,22280,2.224,source label,source-specific MIT CC-BY CC-BY-NC-SA and non-commercial terms,inherited_component_bases_plus_article4,partial,medium-high,Most components have direct terms; Article 4 was selected for residual LeetCode/Airoboros prompt and compilation provenance.
Collective_Cognition,CollectiveCognition/chats-data-2023-09-22,2719,0.271,inferred contiguous block verified against source rows,MIT plus user-contribution purpose,direct_terms,complete,low-medium,Users shared the chats to the collection and its card expressly identifies model training as a supported use.
UnnaturalInstructions,Instruction-Tuning-with-GPT-4/GPT-4-LLM,8610,0.860,source label,CC-BY-NC-4.0 research-only,direct_terms_current_noncommercial,complete,low,Official repository expressly covers GPT-4 answers to Unnatural Instructions.
WizardLM_EvolInstruct_V2,WizardLM/WizardLM_evol_instruct_V2_196k,51093,5.101,inferred contiguous block and upstream idx structure,MIT,direct_terms,complete,low-medium,Synthetic evolved instructions; preserve source notice.
