source_id,dfm8_prefix,processing_form,source_rows,accepted_or_tokenized_rows,sampled_tokens_per_epoch,generator_or_method,audit_method,prompt_or_recipe_evidence,status
common-pile/arxiv_papers_filtered,dfm4_arxiv_paper_summarization,derived task,213354,213354,129586132,deterministic derived-task conversion,deterministic converter/source checks,scripts/generate_dfm4_tasks.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/common-pile-denoising,common-pile-denoising,generated + audited,254565,254565,883618038,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/common-pile-denoising/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/common-pile-paragraph-reordering,common-pile-paragraph-reordering,generated + audited,86328,86328,166705119,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/common-pile-paragraph-reordering/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/common-pile-prefix-continuation,common-pile-prefix-continuation,generated + audited,619911,619911,1153663578,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/common-pile-prefix-continuation/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/common-pile-span-filling,common-pile-span-filling,generated + audited,253715,253715,822495999,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/common-pile-span-filling/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/danish-dynaword-denoising,danish-dynaword-denoising,generated + audited,65518,65518,323226788,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/danish-dynaword-denoising/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/danish-dynaword-paragraph-reordering,danish-dynaword-paragraph-reordering,generated + audited,55340,55340,160473180,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/danish-dynaword-paragraph-reordering/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/danish-dynaword-prefix-continuation,danish-dynaword-prefix-continuation,generated + audited,105317,105317,251806228,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/danish-dynaword-prefix-continuation/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/danish-dynaword-span-filling,danish-dynaword-span-filling,generated + audited,54968,54968,250858496,deterministic task derivation; Gemma 4 31B judge,structural filtering plus model-judge acceptance,data/dfm8_transform_expansion_filtered/danish-dynaword-span-filling/filter_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-openhermes-da,dfm8-openhermes-da,repaired/translated + audited,972744,972744,922033292,Gemma 4 31B audit/repair/translation pipeline,source audit plus post-repair/post-translation judge audit,export-upload-dfm8-openhermes-repaired/build_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-openhermes-en,dfm8-openhermes-en,repaired/translated + audited,922655,922655,672131532,Gemma 4 31B audit/repair/translation pipeline,source audit plus post-repair/post-translation judge audit,export-upload-dfm8-openhermes-repaired/build_summary.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-synthetic-code-debugging,dfm8-synthetic-code-debugging,generated + audited,341106,341106,246646769,Gemma 4 31B generator and Gemma 4 31B judge,model-judge audit; accepted rows only,export-upload-dfm8-synthetic/dfm8-synthetic-code-debugging/recreate_dataset.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-synthetic-constrained-format-following,dfm8-synthetic-constrained-format-following,generated + audited,838097,838097,171088193,Gemma 4 31B generator and Gemma 4 31B judge,model-judge audit; accepted rows only,export-upload-dfm8-synthetic/dfm8-synthetic-constrained-format-following/recreate_dataset.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls,dfm8-synthetic-danish-summarization-rewrite-controls,generated + audited,825710,825710,395960288,Gemma 4 31B generator and Gemma 4 31B judge,model-judge audit; accepted rows only,export-upload-dfm8-synthetic/dfm8-synthetic-danish-summarization-rewrite-controls/recreate_dataset.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-synthetic-multiturn-danish-english-chat,dfm8-synthetic-multiturn-danish-english-chat,generated + audited,962230,962230,366469258,Gemma 4 31B generator and Gemma 4 31B judge,model-judge audit; accepted rows only,export-upload-dfm8-synthetic/dfm8-synthetic-multiturn-danish-english-chat/recreate_dataset.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-synthetic-native-tool-calling,dfm8-synthetic-native-tool-calling,generated + audited,1810418,1810418,513088304,Gemma 4 31B generator and Gemma 4 31B judge,model-judge audit; accepted rows only,export-upload-dfm8-synthetic/dfm8-synthetic-native-tool-calling/recreate_dataset.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/dfm8-synthetic-strict-math-answer-contract,dfm8-synthetic-strict-math-answer-contract,generated + audited,552956,552956,173411485,Gemma 4 31B generator and Gemma 4 31B judge,model-judge audit; accepted rows only,export-upload-dfm8-synthetic/dfm8-synthetic-strict-math-answer-contract/recreate_dataset.py,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc,sapient-synth-flan-dialog-fsopt-data-qrecc,generated + audited,20748,20748,13106102,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-dialog-fsopt-data-qrecc/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-dialog-fsopt-data-qrecc-ii,sapient-synth-flan-dialog-fsopt-data-qrecc-ii,generated + audited,5679,5679,2912505,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-dialog-fsopt-data-qrecc-ii/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc,sapient-synth-flan-dialog-zsopt-data-qrecc,generated + audited,10663,10663,1728299,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-dialog-zsopt-data-qrecc/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-dialog-zsopt-data-qrecc-ii,sapient-synth-flan-dialog-zsopt-data-qrecc-ii,generated + audited,3090,3090,512987,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-dialog-zsopt-data-qrecc-ii/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0,generated + audited,11220,11220,4789274,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-fsnoopt-data-aeslc-1.0.0/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
schneiderkamplab/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate,generated + audited,831,831,527024,Gemma 4 31B replacement-generation pipeline,model-judge audit; accepted rows only,export-upload/sapient-synth-flan-flan-fsnoopt-data-opinion-abstracts-idebate/metadata/manifest.json,engineering_method_evidence_indexed_human_rights_review_required
