variant,rlve_environment,source_comment_url,source_domain,source_title_or_proxy,source_fetch_status,comparison_bin,review_status,gpt41_rows,gpt41_tokens,o4mini_rows,o4mini_tokens,normalized_fourgram_min_coverage,normalized_longest_token_run,finding,manual_override,override_scope
abprogramsimulation,ab_program_simulation,https://x.com/VictorTaelin/status/1776096481704804789,x.com,A::B prompting challenge,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,2185,2236066,1825,678992,0.0,0,Retains the distinctive four-token A::B rewrite system and its source-specific neighboring-token rules.,accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
additiontable,addition_table,https://www.luogu.com.cn/problem/P1013,www.luogu.com.cn,P1013 [NOIP 1998 Senior] Positional Addition Table,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,1497,4405865,1200,783104,0.0,2,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
addmultiple_divisible_counting,add_multiple_divisible_counting,https://www.luogu.com.cn/problem/P4466,www.luogu.com.cn,P4466 [CTT] Sum and Product,200,close_but_constrained_restatement,manually_accepted_for_current_research,225,843965,183,51587,0.077,6,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
andor_sequence_counting,and_or_sequence_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,1889,7290966,1881,534203,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
axis_kcenter,axis_k_center,https://www.luogu.com.cn/problem/K4767,www.luogu.com.cn,,404,cited_source_unavailable,manually_accepted_for_current_research,2233,4795039,1786,513407,0.0,0,"RLVE cites Luogu K4767, but the source page returns 404 and could not be compared.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
bannedpointsupersetpathcounting,banned_point_superset_path_counting,https://www.luogu.com.cn/problem/P3734,www.luogu.com.cn,P3734 [HAOI2017] Number of Plans,200,close_but_constrained_restatement,manually_accepted_for_current_research,417,1240319,306,120213,0.076,7,"Prompt closely restates a short or formal source specification. Much of the overlap appears dictated by mathematics, rules, or output semantics, but the comparison does not establish that all retained selection/arrangement is unprotected.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
bezoutidentity,bezout_identity,,,,,native_generator_no_source_comment,no_external_expression_identified,2198,4681021,1890,638059,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
binario,binario,,,,,native_generator_no_source_comment,no_external_expression_identified,408,565478,349,130691,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
binario_noadjacencyrequirement,binario_no_adjacency_requirement,,,,,native_generator_no_source_comment,no_external_expression_identified,407,1282018,410,141367,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
binaryalternation,binary_alternation,,,,,native_generator_no_source_comment,no_external_expression_identified,1805,2889817,1389,437301,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
bitandzero_pathcounting,bitand_zero_path_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,1290,4322937,1194,328471,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
bitequationcounting,bit_equation_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,325,307842,251,86225,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
bitwiseoperationsequencecounting,bitwise_operation_sequence_counting,https://www.luogu.com.cn/problem/P4424,www.luogu.com.cn,P4424 [HNOI/AHOI2018] Treasure Hunt,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2187,4186175,1620,612167,0.012,4,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
blockimage,block_image,https://www.luogu.com.cn/problem/P1058,www.luogu.com.cn,P1058 [NOIP 2008 Junior] 3D Diagram,200,expressive_or_source_specific_carryover,manually_accepted_for_current_research,396,1668155,406,456091,0.183,33,"Retains the distinctive cube ASCII diagrams, adjacency examples, and drawing conventions.",accepted,Project-owner acceptance on 2026-08-17 for current academic/research model training and downstream dataset/mixture consideration; underlying provenance and Article 3 fallback retained.
boundedintervalintersection,bounded_interval_intersection,,,,,native_generator_no_source_comment,no_external_expression_identified,2194,4947715,1765,600115,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
boundedmeansubarraycounting,bounded_mean_subarray_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,2180,2427914,1536,418454,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
boundedsubarraycounting,bounded_subarray_counting,,,,,native_generator_no_source_comment,no_external_expression_identified,2051,6118330,1675,528209,,,"Mapped RLVE environment has no external Source comment. Treat as the MIT-licensed generator layer, subject to the limitation that absence of a comment is not proof of independent creation.",none,
boxscheduling,box_scheduling,https://www.luogu.com.cn/problem/P3207,www.luogu.com.cn,P3207 [HNOI2010] Item Scheduling,200,functional_abstraction_or_rewrite,no_material_expression_identified_in_comparison,2001,3833976,1550,641172,0.017,5,"Prompt strips source narrative/examples or materially reformulates the task into a generated parameterized specification; the comparison identified functional ideas and constraints, not material expressive carryover.",none,
