artifact,metric,value
tulu_v2_split_4096,assistant_characters,619662368
tulu_v2_split_4096,assistant_messages,535982
tulu_v2_split_4096,assistant_messages_ge_2000_chars,84527
tulu_v2_split_4096,assistant_messages_ge_500_chars,390574
tulu_v2_split_4096,assistant_messages_with_code_fence,105509
tulu_v2_split_4096,messages,1071964
tulu_v2_split_4096,messages_per_row_max,184
tulu_v2_split_4096,messages_per_row_p50,8
tulu_v2_split_4096,messages_per_row_p95,24
tulu_v2_split_4096,messages_per_row_p99,38
tulu_v2_split_4096,original_ids_absent_from_long_artifact,792
tulu_v2_split_4096,original_ids_also_in_long_artifact,74159
tulu_v2_split_4096,rows,111912
tulu_v2_split_4096,turn_pairs,535982
tulu_v2_split_4096,unique_original_conversation_ids,74951
tulu_v2_split_4096,user_characters,145408147
tulu_v2_split_4096,user_messages,535982
tulu_v2_split_4096,user_messages_ge_2000_chars,14217
tulu_v2_split_4096,user_messages_ge_500_chars,51451
tulu_v2_split_4096,user_messages_with_code_fence,1302
tulu_v2_long,assistant_characters,597209338
tulu_v2_long,assistant_messages,514423
tulu_v2_long,assistant_messages_ge_2000_chars,81702
tulu_v2_long,assistant_messages_ge_500_chars,375766
tulu_v2_long,assistant_messages_with_code_fence,104393
tulu_v2_long,conversation_rows_matching_aws_access_key,4
tulu_v2_long,conversation_rows_matching_email_address,1882
tulu_v2_long,conversation_rows_matching_openai_style_key,0
tulu_v2_long,conversation_rows_matching_password_assignment,522
tulu_v2_long,conversation_rows_matching_phone_like,7775
tulu_v2_long,conversation_rows_matching_private_ipv4,683
tulu_v2_long,conversation_rows_matching_private_key_block,13
tulu_v2_long,conversation_rows_matching_public_ipv4,522
tulu_v2_long,conversation_rows_matching_self_identification,677
tulu_v2_long,conversation_rows_matching_source_text_task,2664
tulu_v2_long,messages,1028846
tulu_v2_long,messages_per_row_max,844
tulu_v2_long,messages_per_row_p50,6
tulu_v2_long,messages_per_row_p95,48
tulu_v2_long,messages_per_row_p99,122
tulu_v2_long,original_ids_absent_from_split_artifact,148
tulu_v2_long,original_ids_also_in_split_artifact,74159
tulu_v2_long,rows,74312
tulu_v2_long,turn_pairs,514423
tulu_v2_long,unique_original_conversation_ids,74307
tulu_v2_long,user_characters,147467840
tulu_v2_long,user_messages,514423
tulu_v2_long,user_messages_ge_2000_chars,14068
tulu_v2_long,user_messages_ge_500_chars,49440
tulu_v2_long,user_messages_with_code_fence,1326
