node_id,node_type,label,uri,local_status,dependency_completeness,average_tokens_per_epoch,basis,evidence,notes
component:dfm-dyna:agentic-code,component,Agentic Code SFT,,inherited,complete,34769924,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:apertus,component,Apertus SFT mixture,,inherited,complete,3033512464,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:da-refusals,component,DA Refusals,,inherited,complete,17706,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:danish-verifiable-reasoning,component,Danish Verifiable Reasoning,,inherited,complete,9064406,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:ifbench-train,component,IFBench Train,,inherited,complete,1262590,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:mt-da-deepseek,component,MT-DA DeepSeek,,inherited,complete,8883200,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:translation-100k,component,Translation 100K,,inherited,complete,98008752,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:when2call,component,When2Call,,inherited,complete,3797583,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:wiki-instruct-da,component,Wiki Instruct DA,,inherited,complete,164686585,DFM collection transformation is authorized; retained source content follows children,,
component:dfm-dyna:wildchat-qwen,component,WildChat Qwen,,inherited,complete,189868452,DFM collection transformation is authorized; retained source content follows children,,
component:dolci-puzzle:countdownequal,source_component,DOLCI countdownequal prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:cryptarithmetic,source_component,DOLCI cryptarithmetic prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:futoshikipuzzle,source_component,DOLCI futoshikipuzzle prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:hitoripuzzle,source_component,DOLCI hitoripuzzle prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:jugpuzzle,source_component,DOLCI jugpuzzle prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:kakurasu,source_component,DOLCI kakurasu prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:knightsandknaves,source_component,DOLCI knightsandknaves prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:numbrix,source_component,DOLCI numbrix prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:setsplitting,source_component,DOLCI setsplitting prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:skyscraperpuzzle,source_component,DOLCI skyscraperpuzzle prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:starbattle,source_component,DOLCI starbattle prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-puzzle:zebralogics,source_component,DOLCI zebralogics prompts,,cleared,complete,,Ai2-authored/generated DOLCI prompt contribution under ODC-By for research and education,DOLCI main dataset card,Card identifies logic puzzles as new prompts from Ai2.
component:dolci-toolu:bfclv3-decontaminated,source_component,OLMo ToolU SimFC BFCLv3-decontaminated mixture,,inherited,complete,,Generated SimFC layer plus retained xLAM ToolACE and unassigned or adapted API schemas,legal/reports/dfm9-dolci-toolu-component-audit.md,200000 rows; exact label allenai/olmo-toolu-sft-mix-T2-S2-f2-bfclv3-decontaminated.
component:dolci-toolu:deepresearch-drv4,source_component,OLMo ToolU DeepResearch DRv4,,inherited,complete,,Generated DeepResearch trajectories plus named prompt sources residual prompts and retained web-search snippets,legal/reports/dfm9-dolci-toolu-component-audit.md,All 5003 prompts traced to source families; five rows remain outside the direct OpenSciLM release.
component:dolci-toolu:s2-m3,source_component,OLMo ToolU Science QA S2 M3,,inherited,complete,,Generated Science QA trajectory layer plus Semantic Scholar response data,legal/reports/dfm9-dolci-toolu-component-audit.md,8074 rows; 1580 contain abstract fields.
component:dolci-toolu:s2-m4v2,source_component,OLMo ToolU Science QA S2 M4v2,,inherited,complete,,Generated Science QA trajectory layer plus Semantic Scholar response data,legal/reports/dfm9-dolci-toolu-component-audit.md,9085 rows; 8838 contain abstract fields.
