source_id,source_url,source_type,dfm8_prefix,processing_form,source_rows,source_tokens,sampled_rows_per_epoch,sampled_tokens_per_epoch,dfm8_share,provisional_basis,licence_or_agreement,article4_reservation_review,personal_data_review,privacy_triage,approval_status,evidence,notes
allenai/big-reasoning-traces,https://huggingface.co/datasets/allenai/big-reasoning-traces,public_dataset,allenai_big_reasoning_traces,converted,676947,1656898949,676947,1656898949,2.35090%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/Dolci-Instruct-SFT,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT,public_dataset,dolci_instruct_sft,converted,3026926,2236249049,3026926,2236249049,3.17292%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/Dolci-Instruct-SFT-No-Tools,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-No-Tools,public_dataset,dolci_instruct_sft_no_tools,converted,1922348,1162167502,5767044,3486502506,4.94685%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/Dolci-Instruct-SFT-Tool-Use,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-Tool-Use,public_dataset,dolci_native_tool_use/dolci_instruct_sft_tool_use,native-tool conversion,1076314,807406444,2152628,1614812888,2.29119%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/Dolci-Instruct-SFT-Tool-Use-SA,https://huggingface.co/datasets/allenai/Dolci-Instruct-SFT-Tool-Use-SA,public_dataset,dolci_native_tool_use/dolci_instruct_sft_tool_use_sa,native-tool conversion,4542,2907414,9084,5814828,0.00825%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/IF_sft_data_verified,https://huggingface.co/datasets/allenai/IF_sft_data_verified,public_dataset,allenai_if_sft_verified,converted,31747,19940266,31747,19940266,0.02829%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/open_math_2_50k_r1-original,https://huggingface.co/datasets/allenai/open_math_2_50k_r1-original,public_dataset,allenai_open_math_2_50k_r1,converted,49829,71816694,49829,71816694,0.10190%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/RLVR-GSM,https://huggingface.co/datasets/allenai/RLVR-GSM,public_dataset,allenai_rlvr_gsm,converted,7473,682485,74730,6824850,0.00968%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/RLVR-MATH,https://huggingface.co/datasets/allenai/RLVR-MATH,public_dataset,allenai_rlvr_math,converted,7498,806707,74980,8067070,0.01145%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/SciRIFF-train-mix,https://huggingface.co/datasets/allenai/SciRIFF-train-mix,public_dataset,allenai_sciriff_train_mix,converted,118517,132295148,118517,132295148,0.18771%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/tulu-3-sft-mixture,https://huggingface.co/datasets/allenai/tulu-3-sft-mixture,public_dataset,allenai_tulu_3_sft_mixture,converted,1050994,785281086,2101988,1570562172,2.22840%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/tulu-3-sft-personas-algebra,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-algebra,public_dataset,allenai_tulu_3_personas_algebra,converted,20000,21019876,20000,21019876,0.02982%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/tulu-3-sft-personas-code,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-code,public_dataset,allenai_tulu_3_personas_code,converted,34999,14638779,34999,14638779,0.02077%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/tulu-3-sft-personas-instruction-following,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-instruction-following,public_dataset,allenai_tulu_3_personas_if,converted,29980,11519076,29980,11519076,0.01634%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/tulu-3-sft-personas-math,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-math,public_dataset,allenai_tulu_3_personas_math,converted,149960,203838413,149960,203838413,0.28922%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/tulu-v2-sft-long-mixture,https://huggingface.co/datasets/allenai/tulu-v2-sft-long-mixture,public_dataset,allenai_tulu_v2_sft_long_mixture,converted,560846,605433930,560846,605433930,0.85902%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/tulu-v2-sft-mixture,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture,public_dataset,allenai_tulu_v2_sft_mixture,converted,752868,839604204,752868,839604204,1.19128%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
allenai/verifiable-reasoning-filtered-gpt-41,https://huggingface.co/datasets/allenai/verifiable-reasoning-filtered-gpt-41,public_dataset,allenai_verifiable_reasoning_gpt41,converted,284811,604700862,284811,604700862,0.85798%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
allenai/verifiable-reasoning-filtered-o4-mini,https://huggingface.co/datasets/allenai/verifiable-reasoning-filtered-o4-mini,public_dataset,allenai_verifiable_reasoning_o4mini,converted,190217,88684802,172000,80190190,0.11378%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
ccdv/govreport-summarization,https://huggingface.co/datasets/ccdv/govreport-summarization,public_dataset,dfm4_govreport_summarization,converted,4152,2206151,8304,4412302,0.00626%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,standard_source_review_required,open,docs/dfm8-datasets.md,
common-pile/arxiv_papers_filtered,https://huggingface.co/datasets/common-pile/arxiv_papers_filtered,public_dataset,dfm4_arxiv_paper_summarization,derived task,213354,129586132,213354,129586132,0.18386%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,elevated_mixed_or_web_derived,open,docs/dfm8-datasets.md,
danish-foundation-models/ai_arena_udtraek,https://huggingface.co/datasets/danish-foundation-models/ai_arena_udtraek,public_dataset,ai_arena_udtraek,converted,4255,4569060,42550,45690600,0.06483%,upstream_licence_or_research_tdm_review_required,TBD,TBD,TBD,high_priority_user_generated_or_conversational,open,docs/dfm8-datasets.md,
