source_or_group,average_tokens_per_epoch,audit_status,article3_outcome,remaining_issue,evidence
danish-foundation-models/dfm-dyna-instruct,3543871662.0,audited_component_fallback,approved_for_current_research,"DFM Dyna and Apertus are resolved for current research. FLAN v2, SciRIFF and four uncovered OpenHermes families use Article 4; MoT uses a recorded residual-risk acceptance without Article 3. LongAlign and EuroBlocks seed expression retain Article 3, with project-owner approval for the current research purpose under MAN-017 and MAN-018.","exact HF revision bf1024f4f5b5c42586961a53946fbc5f2cc1eb80; legal/reports/dfm9-apertus-component-audit.md; legal/reports/dfm9-smoltalk-component-audit.md; legal/reports/dfm9-openhermes-component-audit.md; legal/reports/dfm9-mot-copyright-risk.md; legal/reports/dfm9-longalign-euroblocks-boundary-audit.md; project-owner decisions MAN-015 through MAN-018 dated 2026-08-17/18"
allenai/Dolci-Instruct-SFT family,7337564443.0,audited_component_fallback,required_only_for_uncovered_components,"Direct/open and generated subsets are resolved; FLAN v2 and SciRIFF now use Article 4. Any remaining Article 3 reliance follows other source-specific dependencies.","local dataset cards; source_dataset/source counts from downloaded parquet; legal/reports/dfm9-tulu3-mixture-audit.md; project-owner decision 2026-08-17"
sapientinc/HRM-Text-data-io-cleaned-20260515,21380034516.8,audited_component_fallback,approved_for_current_research,"All eight retained broad families are resolved. Platypus and synthetic/math use direct terms or accepted low risk; factual FLAN is direct/Article 4; non-factual FLAN uses direct terms plus MAN-019 Article 4; Article 3 remains only for 69.759M tokens/epoch in the Tasksource residual under MAN-020.","legal/reports/dfm9-sapient-synthetic-math-family-audit.md; legal/reports/dfm9-sapient-factual-flan-family-audit.md; legal/reports/dfm9-sapient-flan-tasksource-platypus-audit.md; project-owner decisions MAN-006 through MAN-011 and MAN-019 through MAN-020"
allenai/tulu-3-sft-mixture,1570562172.0,audited_direct_and_article4,not_required,"All 19 local source labels audited. Direct/component terms cover identified material; project-owner Article 4 determination covers uncovered FLAN v2 and SciRIFF source expression. Article 3 is not relied on.","legal/reports/dfm9-tulu3-mixture-audit.md; legal/registers/dfm9-tulu3-mixture-component-audit.csv; project-owner decision 2026-08-17"
allenai/tulu-v2-sft-mixture,839604204.0,audited_component_permission,not_required,"All 16 local labels mapped. Direct/noncommercial terms or recorded Article 4 decisions cover non-ShareGPT components; MAN-022 accepts deliberate ShareGPT publication as permission for the current research purpose. Privacy and nonresearch scope remain separate.","legal/reports/dfm9-tulu-v2-sciriff-if-sft-audit.md; legal/reports/dfm9-manual-acceptances-and-overrides.md; exact 326154-row local artifact"
allenai/tulu-v2-sft-long-mixture,605433930.0,audited_component_permission,not_required,"Same non-ShareGPT composition as Tulu v2. MAN-022 covers the 74312 ShareGPT rows for the current research purpose; 74159 original IDs overlap split, with 148 Long-only and 792 split-only. Privacy and nonresearch scope remain separate.","legal/reports/dfm9-sharegpt-boundary-audit.md; legal/reports/dfm9-manual-acceptances-and-overrides.md; exact 288554-row local artifact"
allenai/tulu-3-sft-personas-{math|code|algebra|instruction-following},251016144.0,audited_direct_noncommercial_lineage,not_required,"ODC-By Ai2 release; PersonaHub CC-BY-NC-SA conditioning; Ai2-authored IF seeds and open IFEval taxonomy; GPT-4o and Claude customer-output assignments. Preserve attribution/ShareAlike/NonCommercial obligations and the account-specific compliance caveat.","legal/reports/dfm9-tulu3-persona-family-audit.md; local cards and rows; Tulu 3 report; provider terms"
nvidia/Nemotron-SFT-Instruction-Following-Chat-v2,1603274447.0,audited_direct_permission,not_required,"Retain ODC-By attribution and NVIDIA terms evidence","local and HF dataset card: owner statement; commercial readiness; free training/evaluation permission"
schneiderkamplab/dfm8-openhermes-{en|da},1594164824.0,audited_component_article4,not_required,"Repair/translation does not erase inherited OpenHermes prompts; direct component terms remain and Article 4 / Danish section 11 b was selected for four uncovered families","OpenHermes source list; local repair/audit manifests; MAN-016"
oliverkinch/eur-lex-bt,16694550.0,audited_direct_source_terms,not_required,"Retain EU reuse attribution/source identifiers","local row provenance to oliverkinch/eur-lex; project-owner confirmation 2026-08-17"
oliverkinch/eur-lex-sum-instruct,2628790.0,audited_direct_source_terms,not_required,"Retain EU reuse attribution/source identifiers","local row provenance to oliverkinch/eur-lex-sum; project-owner confirmation 2026-08-17"
allenai/code-meta-reasoning-cleaned-final-string-id,0,not_in_effective_dfm9,not_applicable,"No substantive card or licence; must be audited before any future sampled use","absent from data/show_analytics_dfm9.md and sampled index coverage"
nvidia/Nemotron-SFT-SWE-v2,0,not_in_effective_dfm9,not_applicable,"Tokenized addition is not part of sampled_dfm9","absent from data/show_analytics_dfm9.md and sampled index coverage"
nvidia/Nemotron-Terminal-Corpus,0,not_in_effective_dfm9,not_applicable,"Tokenized addition is not part of sampled_dfm9","absent from data/show_analytics_dfm9.md and sampled index coverage"
Muennighoff/natural-instructions,0,not_in_effective_dfm9,not_applicable,"Tokenized addition is not part of sampled_dfm9","absent from data/show_analytics_dfm9.md and sampled index coverage"
AI-MO/NuminaMath-1.5,0,not_in_effective_dfm9,not_applicable,"Tokenized addition is not part of sampled_dfm9","absent from data/show_analytics_dfm9.md and sampled index coverage"
grammarly/coedit,0,not_in_effective_dfm9,not_applicable,"Tokenized addition is not part of sampled_dfm9","absent from data/show_analytics_dfm9.md and sampled index coverage"
facebook/asset,0,not_in_effective_dfm9,not_applicable,"Tokenized addition is not part of sampled_dfm9; card conflict still matters for future use","absent from data/show_analytics_dfm9.md and sampled index coverage"
allenai/verifiable-reasoning-filtered-gpt-41,604700862.0,audited_rlve_prompt_level_mixed_lineage,accepted_for_current_research_with_article3_fallback,"250 prompt variants audited: 124 native/no-comment, 61 functional rewrites, 45 close/constrained, 15 expressive/source-specific carryover, 1 unavailable, 4 unmatched; 127865 rows are externally cited and 4921 unmatched. Project owner manually accepted the complete family for current academic/research training and downstream-mixture consideration on 2026-08-17; Article 3 fallback retained.","exact local revision; prompt-template/source comparison; legal/registers/dfm9-rlve-prompt-expression-audit.csv"
allenai/verifiable-reasoning-filtered-o4-mini,80198700.4,audited_rlve_prompt_level_mixed_lineage,accepted_for_current_research_with_article3_fallback,"250 prompt variants audited: 124 native/no-comment, 61 functional rewrites, 45 close/constrained, 15 expressive/source-specific carryover, 1 unavailable, 4 unmatched; 106059 rows are externally cited and 4107 unmatched. Project owner manually accepted the complete family for current academic/research training and downstream-mixture consideration on 2026-08-17; Article 3 fallback retained.","exact local revision; prompt-template/source comparison; legal/registers/dfm9-rlve-prompt-expression-audit.csv"
synquid/wildchat-100k-qwen-messages,189868452.0,audited_express_permission,not_required,"Synquid's contribution is authorized; affirmative WildChat consent is accepted by the project owner as express permission for current research model training; privacy controls remain separate","WildChat ICLR 2024 consent appendix; local card: 69688 original two-message and 30000 extended conversations; project-owner decision 2026-08-17"
